"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","delta_t_crit_r_min","delta_t_crit_r_max","k"
"SSP1_2_6",0.00163252578593022,1.3,1.6,1.15,1.9,2
"SSP2_4_5",0.0111623086038673,1.3,1.6,1.15,1.9,2
"SSP3_7_0",0.0144568038335034,1.3,1.6,1.15,1.9,2
"SSP5_8_5",0.01306526233591,1.3,1.6,1.15,1.9,2
"SSP1_1_9",0.0271387060824655,1,2.35,1,2.05,2
"SSP1_2_6",0.0233485057135328,1,2.35,1,2.05,2
"SSP2_4_5",0.0462566276947303,1,2.35,1,2.05,2
"SSP3_7_0",0.042570913836693,1,2.35,1,2.05,2
"SSP5_8_5",0.0434473824949165,1,2.35,1,2.05,2
"SSP1_1_9",0.0118568790174718,1.75,2.35,1.45,2.2,2
"SSP1_2_6",0.0081890496484407,1.75,2.35,1.45,2.2,2
"SSP2_4_5",0.00914488948636752,1.75,2.35,1.45,2.2,2
"SSP3_7_0",0.0119492600897276,1.75,2.35,1.45,2.2,2
"SSP5_8_5",0.0128920623537386,1.75,2.35,1.45,2.2,2
"SSP1_1_9",0.0211730123094349,1,2.05,2.05,2.2,2
"SSP1_2_6",0.030712826857671,1,2.05,2.05,2.2,2
"SSP2_4_5",0.0625541418911834,1,2.05,2.05,2.2,2
"SSP3_7_0",0.0492861102170475,1,2.05,2.05,2.2,2
"SSP5_8_5",0.0524655462481769,1,2.05,2.05,2.2,2
"SSP1_1_9",0.000935887022231584,1.45,1.6,1.6,2.5,2
"SSP1_2_6",0.000930566307916716,1.45,1.6,1.6,2.5,2
"SSP2_4_5",0.00253808606613152,1.45,1.6,1.6,2.5,2
"SSP3_7_0",0.00332809669392164,1.45,1.6,1.6,2.5,2
"SSP5_8_5",0.00281147857884242,1.45,1.6,1.6,2.5,2
"SSP1_1_9",0.00582860106646293,1.15,1.45,1.15,2.35,2
"SSP1_2_6",0.00567597760602633,1.15,1.45,1.15,2.35,2
"SSP2_4_5",0.0277523961540492,1.15,1.45,1.15,2.35,2
"SSP3_7_0",0.0298752248082765,1.15,1.45,1.15,2.35,2
"SSP5_8_5",0.0281420867744416,1.15,1.45,1.15,2.35,2
"SSP1_1_9",0.00958172880454121,1.15,2.5,1.15,1.3,2
"SSP1_2_6",0.00922653372720413,1.15,2.5,1.15,1.3,2
"SSP2_4_5",0.0318778095400582,1.15,2.5,1.15,1.3,2
"SSP3_7_0",0.0311914285842905,1.15,2.5,1.15,1.3,2
"SSP5_8_5",0.0294821890893011,1.15,2.5,1.15,1.3,2
"SSP1_1_9",0.0334939188803114,1,2.5,1.45,2.5,2
"SSP1_2_6",0.0358069645964651,1,2.5,1.45,2.5,2
"SSP2_4_5",0.0750665530916296,1,2.5,1.45,2.5,2
"SSP3_7_0",0.0672950209431932,1,2.5,1.45,2.5,2
"SSP5_8_5",0.0678255718487359,1,2.5,1.45,2.5,2
"SSP1_1_9",4.27290769355131e-05,1.6,1.75,1,1.3,2
"SSP1_2_6",0.000658686972875106,1.6,1.75,1,1.3,2
"SSP2_4_5",0.00253835523841354,1.6,1.75,1,1.3,2
"SSP3_7_0",0.0029041912013669,1.6,1.75,1,1.3,2
"SSP5_8_5",0.0028871327679634,1.6,1.75,1,1.3,2
"SSP1_1_9",0.0123034563855123,1.15,2.05,1.45,2.5,2
"SSP1_2_6",0.0109255348545628,1.15,2.05,1.45,2.5,2
"SSP2_4_5",0.0461768572936753,1.15,2.05,1.45,2.5,2
"SSP3_7_0",0.0471342076171662,1.15,2.05,1.45,2.5,2
"SSP5_8_5",0.0449673822191783,1.15,2.05,1.45,2.5,2
"SSP1_1_9",0.00889584515820174,1,2.35,1,1,2
"SSP1_2_6",0.0122664754453602,1,2.35,1,1,2
"SSP2_4_5",0.0209149449726193,1,2.35,1,1,2
"SSP3_7_0",0.0183520345005804,1,2.35,1,1,2
"SSP5_8_5",0.0174541505790391,1,2.35,1,1,2
"SSP1_1_9",0.00097446857958856,1.9,2.35,1.45,1.9,2
"SSP1_2_6",0.00297536167484606,1.9,2.35,1.45,1.9,2
"SSP2_4_5",0.00729147306366485,1.9,2.35,1.45,1.9,2
"SSP3_7_0",0.0117369707034738,1.9,2.35,1.45,1.9,2
"SSP5_8_5",0.0124713342623516,1.9,2.35,1.45,1.9,2
"SSP1_1_9",0.0060555216317834,1,1.45,1,2.05,2
"SSP1_2_6",0.024691548511589,1,1.45,1,2.05,2
"SSP2_4_5",0.0367568213115863,1,1.45,1,2.05,2
"SSP3_7_0",0.0368384314146723,1,1.45,1,2.05,2
"SSP5_8_5",0.0354100746721085,1,1.45,1,2.05,2
"SSP1_1_9",0.00259930850565104,1.15,1.15,1,2.2,2
"SSP1_2_6",0.00302558959024403,1.15,1.15,1,2.2,2
"SSP2_4_5",0.014743887530293,1.15,1.15,1,2.2,2
"SSP3_7_0",0.0162697926362215,1.15,1.15,1,2.2,2
"SSP5_8_5",0.015396749708739,1.15,1.15,1,2.2,2
"SSP1_1_9",0.0145188389964905,1.45,2.05,1.9,2.05,2
"SSP1_2_6",0.00963288389142265,1.45,2.05,1.9,2.05,2
"SSP2_4_5",0.0345786024215285,1.45,2.05,1.9,2.05,2
"SSP3_7_0",0.0301341066827786,1.45,2.05,1.9,2.05,2
"SSP5_8_5",0.0283987031041817,1.45,2.05,1.9,2.05,2
"SSP1_1_9",0.00919267713864653,1.15,1.9,1,2.2,2
"SSP1_2_6",0.00935904667860964,1.15,1.9,1,2.2,2
"SSP2_4_5",0.0393298436127421,1.15,1.9,1,2.2,2
"SSP3_7_0",0.0431797211330882,1.15,1.9,1,2.2,2
"SSP5_8_5",0.040918292491728,1.15,1.9,1,2.2,2
"SSP1_1_9",0.00537626836600299,1.9,2.5,2.05,2.5,2
"SSP1_2_6",0.0146779509077934,1.9,2.5,2.05,2.5,2
"SSP2_4_5",0.00603146069453014,1.9,2.5,2.05,2.5,2
"SSP3_7_0",0.0136683541711047,1.9,2.5,2.05,2.5,2
"SSP5_8_5",0.0129343154947045,1.9,2.5,2.05,2.5,2
"SSP1_1_9",0.0312730688965571,1.15,2.5,2.2,2.5,2
"SSP1_2_6",0.025899662750715,1.15,2.5,2.2,2.5,2
"SSP2_4_5",0.0687373739131288,1.15,2.5,2.2,2.5,2
"SSP3_7_0",0.0650940123627536,1.15,2.5,2.2,2.5,2
"SSP5_8_5",0.0631728886792677,1.15,2.5,2.2,2.5,2
"SSP1_1_9",0.0055661822331303,1,1.6,1.45,2.05,2
"SSP1_2_6",0.0228458304414994,1,1.6,1.45,2.05,2
"SSP2_4_5",0.035410278279511,1,1.6,1.45,2.05,2
"SSP3_7_0",0.0311948982105499,1,1.6,1.45,2.05,2
"SSP5_8_5",0.029477495540687,1,1.6,1.45,2.05,2
"SSP1_1_9",0.00494842737263278,2.05,2.35,1.6,2.05,2
"SSP1_2_6",0.0027237053727113,2.05,2.35,1.6,2.05,2
"SSP2_4_5",0.00257364093466264,2.05,2.35,1.6,2.05,2
"SSP3_7_0",0.00375352936040507,2.05,2.35,1.6,2.05,2
"SSP5_8_5",0.00404485461087909,2.05,2.35,1.6,2.05,2
"SSP1_1_9",0.0167749990973504,1.6,2.05,2.35,2.5,2
"SSP1_2_6",0.0064724432786719,1.6,2.05,2.35,2.5,2
"SSP2_4_5",0.0225220609560348,1.6,2.05,2.35,2.5,2
"SSP3_7_0",0.0140084059138645,1.6,2.05,2.35,2.5,2
"SSP5_8_5",0.0138363547873359,1.6,2.05,2.35,2.5,2
"SSP1_1_9",0.0154848353367432,1.15,2.05,1.75,2.35,2
"SSP1_2_6",0.0118673521325409,1.15,2.05,1.75,2.35,2
"SSP2_4_5",0.0520800493302421,1.15,2.05,1.75,2.35,2
"SSP3_7_0",0.0484371437089187,1.15,2.05,1.75,2.35,2
"SSP5_8_5",0.0462147759952242,1.15,2.05,1.75,2.35,2
"SSP1_1_9",0.0263486439524588,1.15,2.5,1,2.35,2
