"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","delta_t_crit_r_min","delta_t_crit_r_max","k"
"SSP1_1_9",0.00211916107001046,2.05,2.5,1,1.75,4
"SSP1_2_6",0.0020426970958183,2.05,2.5,1,1.75,4
"SSP2_4_5",0.00956287177717736,2.05,2.5,1,1.75,4
"SSP3_7_0",0.00900551405489863,2.05,2.5,1,1.75,4
"SSP5_8_5",0.00898134629784281,2.05,2.5,1,1.75,4
"SSP1_1_9",0.0155741484746425,1.15,2.5,1.15,2.5,4
"SSP1_2_6",0.0136562381806373,1.15,2.5,1.15,2.5,4
"SSP2_4_5",0.0446274250799821,1.15,2.5,1.15,2.5,4
"SSP3_7_0",0.0466968846702301,1.15,2.5,1.15,2.5,4
"SSP5_8_5",0.04501090894542,1.15,2.5,1.15,2.5,4
"SSP1_1_9",0.00856871849422287,1,1.9,1,2.5,4
"SSP1_2_6",0.0196397009460106,1,1.9,1,2.5,4
"SSP2_4_5",0.0469395648245743,1,1.9,1,2.5,4
"SSP3_7_0",0.0432381381727975,1,1.9,1,2.5,4
"SSP5_8_5",0.0417668257253495,1,1.9,1,2.5,4
"SSP1_1_9",0.00713418359149055,1.75,2.35,1.3,2.35,4
"SSP1_2_6",0.00707583716883342,1.75,2.35,1.3,2.35,4
"SSP2_4_5",0.013431735248427,1.75,2.35,1.3,2.35,4
"SSP3_7_0",0.027345035134983,1.75,2.35,1.3,2.35,4
"SSP5_8_5",0.027131593397625,1.75,2.35,1.3,2.35,4
"SSP1_1_9",0.0175171632382274,1.3,2.2,1.3,2.5,4
"SSP1_2_6",0.0135663110344683,1.3,2.2,1.3,2.5,4
"SSP2_4_5",0.048718631450442,1.3,2.2,1.3,2.5,4
"SSP3_7_0",0.0489330394194689,1.3,2.2,1.3,2.5,4
"SSP5_8_5",0.0477725253165156,1.3,2.2,1.3,2.5,4
"SSP1_1_9",0.0196128659212157,1.3,2.5,1.15,2.35,4
"SSP1_2_6",0.0170801330646025,1.3,2.5,1.15,2.35,4
"SSP2_4_5",0.0429069281674875,1.3,2.5,1.15,2.35,4
"SSP3_7_0",0.0451478068225433,1.3,2.5,1.15,2.35,4
"SSP5_8_5",0.0452004168027656,1.3,2.5,1.15,2.35,4
"SSP1_1_9",0.0112033447119148,1.6,2.35,1,1.9,4
"SSP1_2_6",0.0108567214749288,1.6,2.35,1,1.9,4
"SSP2_4_5",0.0260238434064941,1.6,2.35,1,1.9,4
"SSP3_7_0",0.0356492451169907,1.6,2.35,1,1.9,4
"SSP5_8_5",0.0351405010239839,1.6,2.35,1,1.9,4
"SSP1_1_9",0.00845887015302106,1.3,2.2,1,1.9,4
"SSP1_2_6",0.00769519599255847,1.3,2.2,1,1.9,4
"SSP2_4_5",0.0325686347048624,1.3,2.2,1,1.9,4
"SSP3_7_0",0.0354808843023294,1.3,2.2,1,1.9,4
"SSP5_8_5",0.0347523098002775,1.3,2.2,1,1.9,4
"SSP1_1_9",0.00656592959230729,1,2.35,1.15,2.5,4
"SSP1_2_6",0.0155580618260871,1,2.35,1.15,2.5,4
"SSP2_4_5",0.0318298752372328,1,2.35,1.15,2.5,4
"SSP3_7_0",0.0342017614059266,1,2.35,1.15,2.5,4
"SSP5_8_5",0.03213038639147,1,2.35,1.15,2.5,4
"SSP1_1_9",0.00698342650478999,1.6,2.05,1,2.35,4
"SSP1_2_6",0.006484425149834,1.6,2.05,1,2.35,4
"SSP2_4_5",0.0259279806707943,1.6,2.05,1,2.35,4
"SSP3_7_0",0.0323392309765743,1.6,2.05,1,2.35,4
"SSP5_8_5",0.0323411396863004,1.6,2.05,1,2.35,4
"SSP1_1_9",0.0205102289914813,1,2.35,1.3,2.2,4
"SSP1_2_6",0.0166826901864887,1,2.35,1.3,2.2,4
"SSP2_4_5",0.056334129528964,1,2.35,1.3,2.2,4
"SSP3_7_0",0.0516098712392668,1,2.35,1.3,2.2,4
"SSP5_8_5",0.0522150485069248,1,2.35,1.3,2.2,4
"SSP1_1_9",0.00995427652775869,1.6,2.35,1,2.2,4
"SSP1_2_6",0.0102822957705192,1.6,2.35,1,2.2,4
"SSP2_4_5",0.0196161833320701,1.6,2.35,1,2.2,4
"SSP3_7_0",0.0267944675786562,1.6,2.35,1,2.2,4
"SSP5_8_5",0.026551298372688,1.6,2.35,1,2.2,4
"SSP1_1_9",0.0157070295529858,1.3,2.2,1.45,2.5,4
"SSP1_2_6",0.00972368260483352,1.3,2.2,1.45,2.5,4
"SSP2_4_5",0.0237938466042354,1.3,2.2,1.45,2.5,4
"SSP3_7_0",0.0194681037973023,1.3,2.2,1.45,2.5,4
"SSP5_8_5",0.0196172747854273,1.3,2.2,1.45,2.5,4
"SSP1_1_9",0.0119216762600194,1,1.9,1.3,2.05,4
"SSP1_2_6",0.0106412645921191,1,1.9,1.3,2.05,4
"SSP2_4_5",0.0429963930919029,1,1.9,1.3,2.05,4
"SSP3_7_0",0.0410216710853342,1,1.9,1.3,2.05,4
"SSP5_8_5",0.0410647649893546,1,1.9,1.3,2.05,4
"SSP1_1_9",0.0170443119106527,1,2.2,1.3,2.2,4
"SSP1_2_6",0.0164805480444986,1,2.2,1.3,2.2,4
"SSP2_4_5",0.0493820334585406,1,2.2,1.3,2.2,4
"SSP3_7_0",0.0414897614359477,1,2.2,1.3,2.2,4
"SSP5_8_5",0.0422724956340317,1,2.2,1.3,2.2,4
"SSP1_1_9",0.0233389606464435,1.15,2.5,1.3,2.05,4
"SSP1_2_6",0.0196671948770793,1.15,2.5,1.3,2.05,4
"SSP2_4_5",0.0655936141719876,1.15,2.5,1.3,2.05,4
"SSP3_7_0",0.0637569184248547,1.15,2.5,1.3,2.05,4
"SSP5_8_5",0.0610259272079867,1.15,2.5,1.3,2.05,4
"SSP1_1_9",0.00120638653967915,1.15,1.45,1.75,2.5,4
"SSP1_2_6",0.00125553221474044,1.15,1.45,1.75,2.5,4
"SSP2_4_5",0.00806942690129472,1.15,1.45,1.75,2.5,4
"SSP3_7_0",0.00739233843706114,1.15,1.45,1.75,2.5,4
"SSP5_8_5",0.00708237871108826,1.15,1.45,1.75,2.5,4
"SSP1_1_9",0.0121074755309329,1,2.05,2.05,2.5,4
"SSP1_2_6",0.0166802810112659,1,2.05,2.05,2.5,4
"SSP2_4_5",0.0368604424886951,1,2.05,2.05,2.5,4
"SSP3_7_0",0.0310642225349538,1,2.05,2.05,2.5,4
"SSP5_8_5",0.0330853410226195,1,2.05,2.05,2.5,4
"SSP1_1_9",0.0103463891111217,1.75,2.5,1.6,2.35,4
"SSP1_2_6",0.0109847330817156,1.75,2.5,1.6,2.35,4
"SSP2_4_5",0.0102430155740859,1.75,2.5,1.6,2.35,4
"SSP3_7_0",0.0184297674088777,1.75,2.5,1.6,2.35,4
"SSP5_8_5",0.0188002300981808,1.75,2.5,1.6,2.35,4
"SSP1_1_9",0.0215734125774063,1.45,2.35,1.6,2.5,4
"SSP1_2_6",0.0128355456137239,1.45,2.35,1.6,2.5,4
"SSP2_4_5",0.0274484459229772,1.45,2.35,1.6,2.5,4
"SSP3_7_0",0.0248965396939582,1.45,2.35,1.6,2.5,4
"SSP5_8_5",0.0246447888906105,1.45,2.35,1.6,2.5,4
"SSP1_1_9",0.0112591675966067,1.45,2.35,1.15,1.6,4
"SSP1_2_6",0.0113391579893103,1.45,2.35,1.15,1.6,4
"SSP2_4_5",0.0214450129002085,1.45,2.35,1.15,1.6,4
"SSP3_7_0",0.0223806709387995,1.45,2.35,1.15,1.6,4
"SSP5_8_5",0.0210165942982507,1.45,2.35,1.15,1.6,4
"SSP1_1_9",0.0157328079611832,1.6,2.5,1.6,2.5,4
"SSP1_2_6",0.0132843755995269,1.6,2.5,1.6,2.5,4
"SSP2_4_5",0.0246124608427332,1.6,2.5,1.6,2.5,4
"SSP3_7_0",0.0242313760074244,1.6,2.5,1.6,2.5,4
"SSP5_8_5",0.0244163984280031,1.6,2.5,1.6,2.5,4
"SSP1_1_9",0.00869219437614255,1.45,2.35,1.3,2.05,4
"SSP1_2_6",0.00772348725840776,1.45,2.35,1.3,2.05,4
"SSP2_4_5",0.0277308444706068,1.45,2.35,1.3,2.05,4
"SSP3_7_0",0.033015620030563,1.45,2.35,1.3,2.05,4
"SSP5_8_5",0.0333855959724749,1.45,2.35,1.3,2.05,4
"SSP1_1_9",0.0157136822528259,1,2.5,1,2.05,4
"SSP1_2_6",0.0144831521599702,1,2.5,1,2.05,4
"SSP2_4_5",0.0454657402906609,1,2.5,1,2.05,4
"SSP3_7_0",0.04864567990943,1,2.5,1,2.05,4
"SSP5_8_5",0.0452916956418918,1,2.5,1,2.05,4
"SSP1_1_9",0.0221842814895999,1.15,2.2,1.9,2.35,4
"SSP1_2_6",0.0147303673985325,1.15,2.2,1.9,2.35,4
"SSP2_4_5",0.0548806532661589,1.15,2.2,1.9,2.35,4
"SSP3_7_0",0.0451597447131431,1.15,2.2,1.9,2.35,4
"SSP5_8_5",0.0438273410002048,1.15,2.2,1.9,2.35,4
"SSP1_1_9",0.00668644204557297,1,2.35,1.15,2.35,4
"SSP1_2_6",0.0159356673252532,1,2.35,1.15,2.35,4
"SSP2_4_5",0.0346348845590886,1,2.35,1.15,2.35,4
"SSP3_7_0",0.0367572227367218,1,2.35,1.15,2.35,4
"SSP5_8_5",0.0341056200507948,1,2.35,1.15,2.35,4
"SSP1_1_9",0.0350026883803094,1.3,2.5,1.9,2.5,4
"SSP1_2_6",0.0278091793048801,1.3,2.5,1.9,2.5,4
"SSP2_4_5",0.0649026843265112,1.3,2.5,1.9,2.5,4
"SSP3_7_0",0.0534806504892444,1.3,2.5,1.9,2.5,4
"SSP5_8_5",0.0526669184131854,1.3,2.5,1.9,2.5,4
"SSP1_1_9",0.0278568170281265,1.3,2.35,1,2.35,4
"SSP1_2_6",0.0199124279854115,1.3,2.35,1,2.35,4
"SSP2_4_5",0.0583289614070398,1.3,2.35,1,2.35,4
"SSP3_7_0",0.0553102643961583,1.3,2.35,1,2.35,4
"SSP5_8_5",0.056514966134877,1.3,2.35,1,2.35,4
"SSP1_1_9",0.0178789559119777,1.3,2.5,1,2.5,4
"SSP1_2_6",0.0152531574238109,1.3,2.5,1,2.5,4
"SSP2_4_5",0.0239616654666259,1.3,2.5,1,2.5,4
"SSP3_7_0",0.0333548065260234,1.3,2.5,1,2.5,4
"SSP5_8_5",0.036509029934631,1.3,2.5,1,2.5,4
"SSP1_1_9",0.0210058406578758,1.45,2.2,1.15,2.5,4
"SSP1_2_6",0.0146566253313291,1.45,2.2,1.15,2.5,4
"SSP2_4_5",0.046214410103322,1.45,2.2,1.15,2.5,4
"SSP3_7_0",0.0487242173870807,1.45,2.2,1.15,2.5,4
"SSP5_8_5",0.0491903158013927,1.45,2.2,1.15,2.5,4
"SSP1_1_9",0.0114835626996159,1.75,2.35,1.6,2.5,4
"SSP1_2_6",0.0113764158674612,1.75,2.35,1.6,2.5,4
"SSP2_4_5",0.00921918309511219,1.75,2.35,1.6,2.5,4
"SSP3_7_0",0.0221591711596175,1.75,2.35,1.6,2.5,4
"SSP5_8_5",0.0227100634800655,1.75,2.35,1.6,2.5,4
"SSP1_1_9",0.0121818562829511,1.15,2.05,1.6,2.2,4
"SSP1_2_6",0.00752707576030827,1.15,2.05,1.6,2.2,4
"SSP2_4_5",0.033532160342955,1.15,2.05,1.6,2.2,4
"SSP3_7_0",0.0254419103471452,1.15,2.05,1.6,2.2,4
"SSP5_8_5",0.0267417357830474,1.15,2.05,1.6,2.2,4
"SSP1_1_9",0.00488946654459051,1,1.75,1,2.5,4
"SSP1_2_6",0.00591158889539807,1,1.75,1,2.5,4
"SSP2_4_5",0.0216545837551793,1,1.75,1,2.5,4
"SSP3_7_0",0.0221552143141458,1,1.75,1,2.5,4
"SSP5_8_5",0.0199472900491967,1,1.75,1,2.5,4
"SSP1_1_9",0.0224793235130128,1.15,2.35,1.3,1.9,4
"SSP1_2_6",0.0181082181414762,1.15,2.35,1.3,1.9,4
"SSP2_4_5",0.0385741487008819,1.15,2.35,1.3,1.9,4
"SSP3_7_0",0.0339864307889061,1.15,2.35,1.3,1.9,4
"SSP5_8_5",0.032633150514009,1.15,2.35,1.3,1.9,4
"SSP1_1_9",0.0227851197816498,1,2.5,1,1.75,4
"SSP1_2_6",0.0221514065150455,1,2.5,1,1.75,4
"SSP2_4_5",0.0710382332636555,1,2.5,1,1.75,4
"SSP3_7_0",0.066097826608181,1,2.5,1,1.75,4
"SSP5_8_5",0.0633560917184033,1,2.5,1,1.75,4
"SSP1_1_9",0.0143987811756868,1,2.35,2.05,2.5,4
"SSP1_2_6",0.0204162541720371,1,2.35,2.05,2.5,4
"SSP2_4_5",0.0396936131234353,1,2.35,2.05,2.5,4
"SSP3_7_0",0.0371580638863765,1,2.35,2.05,2.5,4
"SSP5_8_5",0.0365886153741684,1,2.35,2.05,2.5,4
"SSP1_1_9",0.0145960616169049,1.3,2.5,1.15,2.5,4
"SSP1_2_6",0.0112253758660487,1.3,2.5,1.15,2.5,4
"SSP2_4_5",0.0286482541176634,1.3,2.5,1.15,2.5,4
"SSP3_7_0",0.037236957507408,1.3,2.5,1.15,2.5,4
"SSP5_8_5",0.03581335995144,1.3,2.5,1.15,2.5,4
"SSP1_1_9",0.00386512248500204,1.15,1.6,1,2.35,4
"SSP1_2_6",0.00386936071484427,1.15,1.6,1,2.35,4
"SSP2_4_5",0.0191991646527714,1.15,1.6,1,2.35,4
"SSP3_7_0",0.0216421533853864,1.15,1.6,1,2.35,4
"SSP5_8_5",0.0213790072766352,1.15,1.6,1,2.35,4
"SSP1_1_9",0.00907161708702825,1,1.75,1,2.35,4
"SSP1_2_6",0.0178495477309016,1,1.75,1,2.35,4
"SSP2_4_5",0.0456439533425342,1,1.75,1,2.35,4
"SSP3_7_0",0.041971082422777,1,1.75,1,2.35,4
"SSP5_8_5",0.0399378689450299,1,1.75,1,2.35,4
"SSP1_1_9",0.00790013951432304,1.3,1.9,1,1.75,4
"SSP1_2_6",0.0078731713099811,1.3,1.9,1,1.75,4
"SSP2_4_5",0.0313894090705275,1.3,1.9,1,1.75,4
"SSP3_7_0",0.0345355522547777,1.3,1.9,1,1.75,4
"SSP5_8_5",0.0326168920969376,1.3,1.9,1,1.75,4
"SSP1_1_9",0.00527282033971736,1.75,2.05,1.3,2.35,4
"SSP1_2_6",0.00397108318757648,1.75,2.05,1.3,2.35,4
"SSP2_4_5",0.00974903440457699,1.75,2.05,1.3,2.35,4
"SSP3_7_0",0.0204571308057728,1.75,2.05,1.3,2.35,4
"SSP5_8_5",0.0209082878491614,1.75,2.05,1.3,2.35,4
"SSP1_1_9",0.0098263355698542,1.45,2.5,1,2.35,4
"SSP1_2_6",0.0092066799511857,1.45,2.5,1,2.35,4
"SSP2_4_5",0.0327763262215481,1.45,2.5,1,2.35,4
"SSP3_7_0",0.0388262417246275,1.45,2.5,1,2.35,4
"SSP5_8_5",0.0387113516984069,1.45,2.5,1,2.35,4
"SSP1_1_9",0.0274269834620375,1.6,2.5,1.75,2.5,4
"SSP1_2_6",0.0174233060567968,1.6,2.5,1.75,2.5,4
"SSP2_4_5",0.0386835205102794,1.6,2.5,1.75,2.5,4
"SSP3_7_0",0.0383595223497151,1.6,2.5,1.75,2.5,4
"SSP5_8_5",0.0401669796423231,1.6,2.5,1.75,2.5,4
"SSP1_1_9",0.0277608384202046,1.15,2.35,1.75,2.35,4
"SSP1_2_6",0.0203463096616242,1.15,2.35,1.75,2.35,4
"SSP2_4_5",0.068693397351039,1.15,2.35,1.75,2.35,4
"SSP3_7_0",0.0606932927209617,1.15,2.35,1.75,2.35,4
"SSP5_8_5",0.0583176498212987,1.15,2.35,1.75,2.35,4
"SSP1_1_9",0.0087990774055547,1,1.75,1,2.2,4
"SSP1_2_6",0.0136939129239306,1,1.75,1,2.2,4
"SSP2_4_5",0.0451836421277982,1,1.75,1,2.2,4
"SSP3_7_0",0.047450936587057,1,1.75,1,2.2,4
"SSP5_8_5",0.0449804265962,1,1.75,1,2.2,4
"SSP1_1_9",0.0082241165722259,1.45,2.2,1,2.5,4
"SSP1_2_6",0.00830432179718332,1.45,2.2,1,2.5,4
"SSP2_4_5",0.0253638274006528,1.45,2.2,1,2.5,4
"SSP3_7_0",0.0369583335549291,1.45,2.2,1,2.5,4
"SSP5_8_5",0.0333183810645908,1.45,2.2,1,2.5,4
"SSP1_1_9",0.0192416176232965,1,2.35,1,2.2,4
"SSP1_2_6",0.0248885500988748,1,2.35,1,2.2,4
"SSP2_4_5",0.0625670853426766,1,2.35,1,2.2,4
"SSP3_7_0",0.0576861458110836,1,2.35,1,2.2,4
"SSP5_8_5",0.0564130260374603,1,2.35,1,2.2,4
"SSP1_1_9",0.0109215737280853,1,2.2,1.6,2.35,4
"SSP1_2_6",0.0189297066213599,1,2.2,1.6,2.35,4
"SSP2_4_5",0.0462968979509774,1,2.2,1.6,2.35,4
"SSP3_7_0",0.0450515280271152,1,2.2,1.6,2.35,4
"SSP5_8_5",0.0435270894772464,1,2.2,1.6,2.35,4
"SSP1_1_9",0.0109893027906086,1.3,2.05,1.15,2.2,4
"SSP1_2_6",0.00640266508579621,1.3,2.05,1.15,2.2,4
"SSP2_4_5",0.0294279116877529,1.3,2.05,1.15,2.2,4
"SSP3_7_0",0.02462740298334,1.3,2.05,1.15,2.2,4
"SSP5_8_5",0.0249883971521288,1.3,2.05,1.15,2.2,4
"SSP1_1_9",0.00760938650542641,1.15,2.05,1,1.45,4
"SSP1_2_6",0.00739730628976449,1.15,2.05,1,1.45,4
"SSP2_4_5",0.0322055164942554,1.15,2.05,1,1.45,4
"SSP3_7_0",0.0284393586822093,1.15,2.05,1,1.45,4
"SSP5_8_5",0.0272498646580301,1.15,2.05,1,1.45,4
"SSP1_1_9",0.0149397530135028,1.15,2.2,1,2.35,4
"SSP1_2_6",0.0124538805394381,1.15,2.2,1,2.35,4
"SSP2_4_5",0.0527757204572323,1.15,2.2,1,2.35,4
"SSP3_7_0",0.0480341520235952,1.15,2.2,1,2.35,4
"SSP5_8_5",0.0469919004384918,1.15,2.2,1,2.35,4
"SSP1_1_9",0.00238463324816131,1.75,2.35,1.3,2.05,4
"SSP1_2_6",0.00349239012663563,1.75,2.35,1.3,2.05,4
"SSP2_4_5",0.00877760093903437,1.75,2.35,1.3,2.05,4
"SSP3_7_0",0.0178951992775856,1.75,2.35,1.3,2.05,4
"SSP5_8_5",0.0180586496670194,1.75,2.35,1.3,2.05,4
"SSP1_1_9",0.0161517765156874,1.6,2.35,1.75,2.5,4
"SSP1_2_6",0.0106992585822033,1.6,2.35,1.75,2.5,4
"SSP2_4_5",0.0282315838651784,1.6,2.35,1.75,2.5,4
"SSP3_7_0",0.0284379354020412,1.6,2.35,1.75,2.5,4
"SSP5_8_5",0.0298032817639524,1.6,2.35,1.75,2.5,4
"SSP1_1_9",0.024884929980845,1,2.5,1.45,2.05,4
"SSP1_2_6",0.0292371106724551,1,2.5,1.45,2.05,4
"SSP2_4_5",0.0772894250584683,1,2.5,1.45,2.05,4
"SSP3_7_0",0.0699019956158134,1,2.5,1.45,2.05,4
"SSP5_8_5",0.0669935467721195,1,2.5,1.45,2.05,4
"SSP1_1_9",0.0146885047660086,1,2.2,1.15,1.9,4
"SSP1_2_6",0.0120108761171777,1,2.2,1.15,1.9,4
"SSP2_4_5",0.0394977844683686,1,2.2,1.15,1.9,4
"SSP3_7_0",0.0376162800583728,1,2.2,1.15,1.9,4
"SSP5_8_5",0.0359921576240724,1,2.2,1.15,1.9,4
"SSP1_1_9",0.0179405013770223,1.15,2.2,1.6,2.5,4
"SSP1_2_6",0.0135549581188595,1.15,2.2,1.6,2.5,4
"SSP2_4_5",0.0538941801009322,1.15,2.2,1.6,2.5,4
"SSP3_7_0",0.0482941483444016,1.15,2.2,1.6,2.5,4
"SSP5_8_5",0.0468691508285911,1.15,2.2,1.6,2.5,4
"SSP1_1_9",0.00698274939050858,1.9,2.5,1.45,2.5,4
"SSP1_2_6",0.0131395757839268,1.9,2.5,1.45,2.5,4
"SSP2_4_5",0.0111776365110037,1.9,2.5,1.45,2.5,4
"SSP3_7_0",0.0270647241207775,1.9,2.5,1.45,2.5,4
"SSP5_8_5",0.0292813147697126,1.9,2.5,1.45,2.5,4
"SSP1_1_9",0.00508154423524614,1.3,2.2,1,1.75,4
"SSP1_2_6",0.00479904669240831,1.3,2.2,1,1.75,4
"SSP2_4_5",0.011898958914395,1.3,2.2,1,1.75,4
"SSP3_7_0",0.0120575111304776,1.3,2.2,1,1.75,4
"SSP5_8_5",0.0119146591514985,1.3,2.2,1,1.75,4
"SSP1_1_9",0.00207951058910947,1,1.45,1,2.05,4
"SSP1_2_6",0.00330890890273493,1,1.45,1,2.05,4
"SSP2_4_5",0.0140258685599286,1,1.45,1,2.05,4
"SSP3_7_0",0.0147575763123174,1,1.45,1,2.05,4
"SSP5_8_5",0.0138604869704556,1,1.45,1,2.05,4
"SSP1_1_9",0.00770045287876645,1.6,2.5,1,2.2,4
"SSP1_2_6",0.0043525841784512,1.6,2.5,1,2.2,4
"SSP2_4_5",0.0176323065029513,1.6,2.5,1,2.2,4
"SSP3_7_0",0.0220836301410372,1.6,2.5,1,2.2,4
"SSP5_8_5",0.0232651465803028,1.6,2.5,1,2.2,4
"SSP1_1_9",0.00533144143004122,1.45,2.2,1.15,1.75,4
"SSP1_2_6",0.00454125741928821,1.45,2.2,1.15,1.75,4
"SSP2_4_5",0.00814935443435228,1.45,2.2,1.15,1.75,4
"SSP3_7_0",0.00756192652855365,1.45,2.2,1.15,1.75,4
"SSP5_8_5",0.00740621712115437,1.45,2.2,1.15,1.75,4
"SSP1_1_9",0.00434805999008493,1.45,1.9,1,1.75,4
"SSP1_2_6",0.00641421877640572,1.45,1.9,1,1.75,4
"SSP2_4_5",0.0150172703224116,1.45,1.9,1,1.75,4
"SSP3_7_0",0.0200529186881308,1.45,1.9,1,1.75,4
"SSP5_8_5",0.0187173092933546,1.45,1.9,1,1.75,4
"SSP1_1_9",0.0182694514227408,1.75,2.5,1.15,2.5,4
"SSP1_2_6",0.0165602552063037,1.75,2.5,1.15,2.5,4
"SSP2_4_5",0.0287161753814521,1.75,2.5,1.15,2.5,4
"SSP3_7_0",0.0394985167940816,1.75,2.5,1.15,2.5,4
"SSP5_8_5",0.0415367453773119,1.75,2.5,1.15,2.5,4
"SSP1_1_9",0.0133829232935177,1.6,2.35,1.45,2.35,4
"SSP1_2_6",0.0113111028207797,1.6,2.35,1.45,2.35,4
"SSP2_4_5",0.0320654695908703,1.6,2.35,1.45,2.35,4
"SSP3_7_0",0.0417216930561169,1.6,2.35,1.45,2.35,4
"SSP5_8_5",0.040380196061746,1.6,2.35,1.45,2.35,4
"SSP1_1_9",0.00710945986437931,2.05,2.5,1.3,2.2,4
"SSP1_2_6",0.00555629528676548,2.05,2.5,1.3,2.2,4
"SSP2_4_5",0.00946827339493253,2.05,2.5,1.3,2.2,4
"SSP3_7_0",0.0131493013298431,2.05,2.5,1.3,2.2,4
"SSP5_8_5",0.0136793149248623,2.05,2.5,1.3,2.2,4
"SSP1_1_9",0.00812023805110846,2.05,2.5,1,2.5,4
"SSP1_2_6",0.00767133907443698,2.05,2.5,1,2.5,4
"SSP2_4_5",0.0220415086118924,2.05,2.5,1,2.5,4
"SSP3_7_0",0.0390108003962245,2.05,2.5,1,2.5,4
"SSP5_8_5",0.0387152221398339,2.05,2.5,1,2.5,4
"SSP1_1_9",0.03044120585545,1.3,2.5,1.45,2.35,4
"SSP1_2_6",0.0245836317027204,1.3,2.5,1.45,2.35,4
"SSP2_4_5",0.0569365362876717,1.3,2.5,1.45,2.35,4
"SSP3_7_0",0.0498422768988598,1.3,2.5,1.45,2.35,4
"SSP5_8_5",0.0491787909292775,1.3,2.5,1.45,2.35,4
"SSP1_1_9",0.00819657035323365,1.6,2.5,1,1.9,4
"SSP1_2_6",0.00834577320796618,1.6,2.5,1,1.9,4
"SSP2_4_5",0.0150817509826955,1.6,2.5,1,1.9,4
"SSP3_7_0",0.0164553555658544,1.6,2.5,1,1.9,4
"SSP5_8_5",0.0159055274411099,1.6,2.5,1,1.9,4
"SSP1_1_9",0.0123170806698947,1,2.35,1.3,2.5,4
"SSP1_2_6",0.0125298996522738,1,2.35,1.3,2.5,4
"SSP2_4_5",0.0448886906254867,1,2.35,1.3,2.5,4
"SSP3_7_0",0.0456136735381698,1,2.35,1.3,2.5,4
"SSP5_8_5",0.0447762522658777,1,2.35,1.3,2.5,4
"SSP1_1_9",0.0195608530250082,1.15,2.2,1.45,2.05,4
"SSP1_2_6",0.0141803914371668,1.15,2.2,1.45,2.05,4
"SSP2_4_5",0.0476874417256671,1.15,2.2,1.45,2.05,4
"SSP3_7_0",0.0416533824852784,1.15,2.2,1.45,2.05,4
"SSP5_8_5",0.0411729429693273,1.15,2.2,1.45,2.05,4
"SSP1_1_9",0.0110390976803296,1.3,2.5,1,2.35,4
"SSP1_2_6",0.0103734452883855,1.3,2.5,1,2.35,4
"SSP2_4_5",0.0440803918365102,1.3,2.5,1,2.35,4
"SSP3_7_0",0.0435348797625739,1.3,2.5,1,2.35,4
"SSP5_8_5",0.0404335638916579,1.3,2.5,1,2.35,4
"SSP1_1_9",0.00819713459283927,1.6,1.9,1.45,2.35,4
"SSP1_2_6",0.00568455083117605,1.6,1.9,1.45,2.35,4
"SSP2_4_5",0.0217053256515921,1.6,1.9,1.45,2.35,4
"SSP3_7_0",0.0227315988644072,1.6,1.9,1.45,2.35,4
"SSP5_8_5",0.0229838686014175,1.6,1.9,1.45,2.35,4
"SSP1_1_9",0.02486543910008,1,2.5,1.15,1.9,4
"SSP1_2_6",0.0238206992208209,1,2.5,1.15,1.9,4
"SSP2_4_5",0.0760220465217696,1,2.5,1.15,1.9,4
"SSP3_7_0",0.0712172303654296,1,2.5,1.15,1.9,4
"SSP5_8_5",0.0681956049696984,1,2.5,1.15,1.9,4
"SSP1_1_9",0.0076700799606538,1,2.05,1.45,2.2,4
"SSP1_2_6",0.0161032671106514,1,2.05,1.45,2.2,4
"SSP2_4_5",0.0353274752615319,1,2.05,1.45,2.2,4
"SSP3_7_0",0.0353773028899161,1,2.05,1.45,2.2,4
"SSP5_8_5",0.0331240253383666,1,2.05,1.45,2.2,4
"SSP1_1_9",0.0177705784697287,1.15,2.35,1.3,1.9,4
"SSP1_2_6",0.0139769526111379,1.15,2.35,1.3,1.9,4
"SSP2_4_5",0.0369457476426634,1.15,2.35,1.3,1.9,4
"SSP3_7_0",0.0344921790076434,1.15,2.35,1.3,1.9,4
"SSP5_8_5",0.033767844599568,1.15,2.35,1.3,1.9,4
"SSP1_1_9",0.00794038416442534,1.3,2.2,1,1.6,4
"SSP1_2_6",0.00765447411180869,1.3,2.2,1,1.6,4
"SSP2_4_5",0.0147117220009074,1.3,2.2,1,1.6,4
"SSP3_7_0",0.0140614532066127,1.3,2.2,1,1.6,4
"SSP5_8_5",0.0133391651848172,1.3,2.2,1,1.6,4
"SSP1_1_9",0.0262189407768634,1,2.5,1.75,2.35,4
"SSP1_2_6",0.030119950355197,1,2.5,1.75,2.35,4
"SSP2_4_5",0.068627497760775,1,2.5,1.75,2.35,4
"SSP3_7_0",0.0625037029311443,1,2.5,1.75,2.35,4
"SSP5_8_5",0.0627315265977927,1,2.5,1.75,2.35,4
"SSP1_1_9",0.0228441297236888,1,2.2,1.3,2.35,4
"SSP1_2_6",0.0170169546311761,1,2.2,1.3,2.35,4
"SSP2_4_5",0.0596217057471768,1,2.2,1.3,2.35,4
"SSP3_7_0",0.0536220049135328,1,2.2,1.3,2.35,4
"SSP5_8_5",0.0551369125727641,1,2.2,1.3,2.35,4
"SSP1_1_9",0.0228668880685532,1,2.5,2.05,2.5,4
