"delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","test_value","experiment","scen_test"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",13.5238585350788,13.5238585350788,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.7415253335472,13.8049914055709,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1386141725145,13.0736178609061,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.7076149799364,13.8044911114468,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8770294248905,12.0181548013009,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.5968387019918,13.7986097945159,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",12.4534803045134,11.571757915595,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",14.4845650956494,13.7202250286177,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",11.9132393748186,10.8785352247913,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",14.3001819028155,13.5632727214179,"experiment1","best stationary"
1,1,TRUE,TRUE,1,"SSP1_1_9",13.447202535105,13.447202535105,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",13.5238585350788,13.5238177814171,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",14.0234509113488,13.6926502799723,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.7415253335472,13.805027830595,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP1_2_6",13.1956036333561,13.1950794268069,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1386141725145,13.0736178609061,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",13.9392797621557,13.6120378265197,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.7076149799364,13.8044911114468,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP2_4_5",12.9029838973937,12.5979266060371,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8770294248905,12.0181421818962,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",13.7845164239924,13.3855494704524,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.5968387019918,13.7984998841806,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP3_7_0",12.6791023325485,12.3001685862918,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",12.4534803045134,11.571757915595,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",13.6969191016596,13.2427682871459,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",14.4845650956494,13.7202250286177,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP5_8_5",12.3426096315839,11.8787243900639,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",11.9132393748186,10.8785352247913,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",13.5572151631023,13.0611227396201,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",14.3001819028155,13.5632727214179,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP1_1_9",13.447202535105,13.447202535105,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP1_1_9",13.518031106176,13.5180161065858,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP1_1_9",13.5232029326066,13.5231670360822,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",13.5238585350788,13.5238177814171,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP1_1_9",13.9088895269787,13.6752563126819,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP1_1_9",13.8884170538122,13.7763375540273,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP1_1_9",13.8926546652854,13.7855187125415,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP1_1_9",13.8939387952044,13.7862629087661,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP1_1_9",14.0139654741067,13.6916341979405,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP1_1_9",14.2408990935787,13.7953130125764,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP1_1_9",14.419487671175,13.8016141554959,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP1_1_9",14.483458322945,13.8020926354265,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",14.0234509113488,13.6926502799723,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.303754986655,13.7962405925898,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP1_1_9",14.6405903613756,13.802723515159,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",14.7415253335472,13.805027830595,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP1_2_6",13.1956036333561,13.1951186686596,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1640244400036,13.1498126266187,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP1_2_6",13.1429371764855,13.0853159323283,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",13.1386141725145,13.0735155027072,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP1_2_6",13.810680205851,13.5793220226209,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP1_2_6",13.8513599243373,13.7423881946629,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP1_2_6",13.8637406858218,13.7586811429191,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP1_2_6",13.8655656893348,13.7599788409289,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP1_2_6",13.9289692709428,13.6098360415097,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP1_2_6",14.2050066098006,13.7813661134291,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP1_2_6",14.3490217966506,13.7999976722274,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP1_2_6",14.376235976559,13.8012787872993,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",13.9392797621557,13.6120662631026,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.2743510854836,13.7843925429045,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP1_2_6",14.5712503915057,13.8019112928202,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",14.7076149799364,13.8045133746131,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP2_4_5",12.9029838973937,12.5979266060371,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8893633545438,12.1981793374015,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP2_4_5",12.878706721885,12.0328537258565,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",12.8770294248905,12.0181421818962,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP2_4_5",13.6337226271135,13.3176954887093,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP2_4_5",13.6266111230774,13.4874203165327,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP2_4_5",13.5981970782136,13.3327062670221,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP2_4_5",13.5886274184373,13.2559935791742,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP2_4_5",13.7721744990441,13.3806170062549,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP2_4_5",14.0992429028921,13.685744219661,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP2_4_5",14.2650670262534,13.7485550946269,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP2_4_5",14.2811315234485,13.7324079552244,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",13.7845164239924,13.3855494704524,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.1784209526339,13.7011981676683,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP2_4_5",14.4968038126532,13.7837972746231,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",14.5968387019918,13.7984998841806,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP3_7_0",12.6791023325485,12.3001685862918,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP3_7_0",12.5143064406651,11.7751850070528,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP3_7_0",12.4554920343646,11.5862626819975,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",12.4534803045134,11.571757915595,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP3_7_0",13.5324461771293,13.1547559507599,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP3_7_0",13.4370324620458,13.1847448865772,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP3_7_0",13.3271019640287,12.8765181471216,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP3_7_0",13.2953443170931,12.7689466541533,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP3_7_0",13.6834197941961,13.2364446207956,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP3_7_0",14.0036777575125,13.5467978443725,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP3_7_0",14.1084675023738,13.5583997549106,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP3_7_0",14.0846115108008,13.3763414638261,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",13.6969191016596,13.2427682871459,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP3_7_0",14.0952044342427,13.5797011987987,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP3_7_0",14.4100176054091,13.7083666552995,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",14.4845650956494,13.7202250286177,"experiment3","best stationary"
1,1,TRUE,TRUE,1,"SSP5_8_5",12.3426096315839,11.8787243900639,"experiment3","best stationary"
1.5,1,TRUE,TRUE,1,"SSP5_8_5",12.0178864770722,11.1317908077618,"experiment3","best stationary"
2,1,TRUE,TRUE,1,"SSP5_8_5",11.9174615564719,10.8943086802027,"experiment3","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",11.9132393748186,10.8785352247913,"experiment3","best stationary"
1,1.5,TRUE,TRUE,1,"SSP5_8_5",13.3714757301427,12.9452472757274,"experiment3","best stationary"
1.5,1.5,TRUE,TRUE,1,"SSP5_8_5",13.150284530186,12.8409648915882,"experiment3","best stationary"
2,1.5,TRUE,TRUE,1,"SSP5_8_5",12.9050706224968,12.336021030728,"experiment3","best stationary"
2.5,1.5,TRUE,TRUE,1,"SSP5_8_5",12.8405921668761,12.1865674366377,"experiment3","best stationary"
1,2,TRUE,TRUE,1,"SSP5_8_5",13.5416842542929,13.052363620826,"experiment3","best stationary"
1.5,2,TRUE,TRUE,1,"SSP5_8_5",13.8530654300422,13.3852537582581,"experiment3","best stationary"
2,2,TRUE,TRUE,1,"SSP5_8_5",13.8585721504749,13.3154059902553,"experiment3","best stationary"
2.5,2,TRUE,TRUE,1,"SSP5_8_5",13.7152532397406,12.9704157068589,"experiment3","best stationary"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",13.5572151631023,13.0611227396201,"experiment3","best stationary"
1.5,2.5,TRUE,TRUE,1,"SSP5_8_5",13.9613248345109,13.4376847320248,"experiment3","best stationary"
2,2.5,TRUE,TRUE,1,"SSP5_8_5",14.2763337956407,13.6006554019873,"experiment3","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",14.3001819028155,13.5632727214179,"experiment3","best stationary"
