"delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","test_value","experiment","scen_test"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",36.5948037459589,36.5752199969813,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",40.4527874083271,37.852847614333,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",33.4623457346053,32.0729216156412,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",40.1434546249568,37.8484172382612,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",31.3036084319923,22.1756776802231,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",39.1636523412478,37.7424821724576,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",25.9980109039918,19.9951240105961,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",37.6584399386938,36.191966416717,"experiment1","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",22.6548983945026,17.4617512540658,"experiment1","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",35.8398296528052,33.8160203526181,"experiment1","best stationary"
1,1,TRUE,TRUE,1,"SSP1_1_9",36.2491517156374,36.2336925033933,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",36.5948037459589,36.5790598024384,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",38.0722357239641,37.3285918871875,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",40.4527874083271,37.857489860604,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP1_2_6",34.2092321239154,33.9737082609406,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",33.4623457346053,32.0735119049901,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",37.322329367697,36.5947213689089,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",40.1434546249568,37.853440340215,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP2_4_5",32.0961086602234,27.77667178668,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",31.3036084319923,22.1756664610142,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",36.1220228979259,34.009966947526,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",39.1636523412478,37.7407788415785,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP3_7_0",29.5905696411211,25.6367509785822,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",25.9980109039918,19.9951240105961,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",35.2361597076553,32.6811804434354,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",37.6584399386938,36.191966416717,"experiment2","best stationary"
1,1,TRUE,TRUE,1,"SSP5_8_5",27.4844402072966,23.7056468450192,"experiment2","best stationary"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",22.6548983945026,17.4617512540658,"experiment2","best stationary"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",34.3001234822057,31.5965662536379,"experiment2","best stationary"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",35.8398296528052,33.8160203526181,"experiment2","best stationary"
