"delta_t_crit_r_test","delta_t_crit_K_test","sigmoid_bool_r_test","sigmoid_bool_K_test","DEP_EFFECT_test","scen_test","delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","r_EVPI","stationary_test"
1,2.05,TRUE,TRUE,1,"SSP1_1_9",1,2.05,TRUE,TRUE,1,"SSP1_1_9",38.0501083894412,0.000294585938769815,3
1,2.05,TRUE,TRUE,1,"SSP1_2_6",1,2.05,TRUE,TRUE,1,"SSP1_2_6",37.2969330791346,0.000740027197671533,2
1,2.05,TRUE,TRUE,1,"SSP2_4_5",1,2.05,TRUE,TRUE,1,"SSP2_4_5",36.0805119186126,0.0178221577805604,4
1,2.05,TRUE,TRUE,1,"SSP3_7_0",1,2.05,TRUE,TRUE,1,"SSP3_7_0",35.1851211202154,0.0449685081599831,4
1,2.05,TRUE,TRUE,1,"SSP5_8_5",1,2.05,TRUE,TRUE,1,"SSP5_8_5",34.2406340664899,0.0507635882136715,4
1,2.2,TRUE,TRUE,1,"SSP1_1_9",1,2.2,TRUE,TRUE,1,"SSP1_1_9",38.0616499583,0.000377581645534166,2
1,2.2,TRUE,TRUE,1,"SSP1_2_6",1,2.2,TRUE,TRUE,1,"SSP1_2_6",37.3093472468439,0.000670568914767458,2
1,2.2,TRUE,TRUE,1,"SSP2_4_5",1,2.2,TRUE,TRUE,1,"SSP2_4_5",36.0980624402548,0.0177167803951055,4
1,2.2,TRUE,TRUE,1,"SSP3_7_0",1,2.2,TRUE,TRUE,1,"SSP3_7_0",35.2106571518892,0.0446933223381622,4
1,2.2,TRUE,TRUE,1,"SSP5_8_5",1,2.2,TRUE,TRUE,1,"SSP5_8_5",34.2705721012349,0.0505272665938104,4
1,2.35,TRUE,TRUE,1,"SSP1_1_9",1,2.35,TRUE,TRUE,1,"SSP1_1_9",38.0670287593868,0.000334198409245853,2
1,2.35,TRUE,TRUE,1,"SSP1_2_6",1,2.35,TRUE,TRUE,1,"SSP1_2_6",37.3189976692942,0.000639108526028886,2
1,2.35,TRUE,TRUE,1,"SSP2_4_5",1,2.35,TRUE,TRUE,1,"SSP2_4_5",36.1146353520352,0.0178638796392344,4
1,2.35,TRUE,TRUE,1,"SSP3_7_0",1,2.35,TRUE,TRUE,1,"SSP3_7_0",35.2283590913019,0.0445798507028379,4
1,2.35,TRUE,TRUE,1,"SSP5_8_5",1,2.35,TRUE,TRUE,1,"SSP5_8_5",34.2903916922036,0.0503529990742646,4
1,2.5,TRUE,TRUE,1,"SSP1_1_9",1,2.5,TRUE,TRUE,1,"SSP1_1_9",38.0722357239641,0.00010610860509187,4
1,2.5,TRUE,TRUE,1,"SSP1_2_6",1,2.5,TRUE,TRUE,1,"SSP1_2_6",37.322329367697,0.000634146391762541,2
1,2.5,TRUE,TRUE,1,"SSP2_4_5",1,2.5,TRUE,TRUE,1,"SSP2_4_5",36.1220228979259,0.0179273135547286,4
1,2.5,TRUE,TRUE,1,"SSP3_7_0",1,2.5,TRUE,TRUE,1,"SSP3_7_0",35.2361597076553,0.0445223520897387,4
1,2.5,TRUE,TRUE,1,"SSP5_8_5",1,2.5,TRUE,TRUE,1,"SSP5_8_5",34.3001234822057,0.0502711651450012,4
1.15,1,TRUE,TRUE,1,"SSP1_1_9",1.15,1,TRUE,TRUE,1,"SSP1_1_9",36.4343469533778,0.000516601986907747,2
1.15,1,TRUE,TRUE,1,"SSP1_2_6",1.15,1,TRUE,TRUE,1,"SSP1_2_6",34.0206017216323,0.00333378337410737,2
1.15,1,TRUE,TRUE,1,"SSP2_4_5",1.15,1,TRUE,TRUE,1,"SSP2_4_5",31.9311444872532,0.0972563699419765,3
1.15,1,TRUE,TRUE,1,"SSP3_7_0",1.15,1,TRUE,TRUE,1,"SSP3_7_0",28.6121575410088,0.117843341185854,4
1.15,1,TRUE,TRUE,1,"SSP5_8_5",1.15,1,TRUE,TRUE,1,"SSP5_8_5",26.0936983634453,0.128142160538703,4
1.15,1.15,TRUE,TRUE,1,"SSP1_1_9",1.15,1.15,TRUE,TRUE,1,"SSP1_1_9",37.1105993039885,0.00143408245017433,3
1.15,1.15,TRUE,TRUE,1,"SSP1_2_6",1.15,1.15,TRUE,TRUE,1,"SSP1_2_6",35.7781993571341,0.00140061920523691,3
1.15,1.15,TRUE,TRUE,1,"SSP2_4_5",1.15,1.15,TRUE,TRUE,1,"SSP2_4_5",33.1171139358184,0.0566217701146778,4
1.15,1.15,TRUE,TRUE,1,"SSP3_7_0",1.15,1.15,TRUE,TRUE,1,"SSP3_7_0",30.7208911270854,0.103419031670779,4
1.15,1.15,TRUE,TRUE,1,"SSP5_8_5",1.15,1.15,TRUE,TRUE,1,"SSP5_8_5",28.5150208811534,0.12951728262906,2
1.15,1.3,TRUE,TRUE,1,"SSP1_1_9",1.15,1.3,TRUE,TRUE,1,"SSP1_1_9",37.6402182911865,0.000282145713407972,3
1.15,1.3,TRUE,TRUE,1,"SSP1_2_6",1.15,1.3,TRUE,TRUE,1,"SSP1_2_6",36.7315596867734,0.000283911882809508,3
1.15,1.3,TRUE,TRUE,1,"SSP2_4_5",1.15,1.3,TRUE,TRUE,1,"SSP2_4_5",34.4212592381209,0.0356646181342092,4
1.15,1.3,TRUE,TRUE,1,"SSP3_7_0",1.15,1.3,TRUE,TRUE,1,"SSP3_7_0",32.735231864009,0.0717430796072138,4
1.15,1.3,TRUE,TRUE,1,"SSP5_8_5",1.15,1.3,TRUE,TRUE,1,"SSP5_8_5",31.0092502877713,0.0898679537785333,2
1.15,1.45,TRUE,TRUE,1,"SSP1_1_9",1.15,1.45,TRUE,TRUE,1,"SSP1_1_9",37.9378980765753,0.00078437010289384,4
1.15,1.45,TRUE,TRUE,1,"SSP1_2_6",1.15,1.45,TRUE,TRUE,1,"SSP1_2_6",37.2736581292507,0.000735517558878526,3
1.15,1.45,TRUE,TRUE,1,"SSP2_4_5",1.15,1.45,TRUE,TRUE,1,"SSP2_4_5",35.389274062783,0.0231651715147229,4
1.15,1.45,TRUE,TRUE,1,"SSP3_7_0",1.15,1.45,TRUE,TRUE,1,"SSP3_7_0",34.1308297118317,0.0679570601974365,2
1.15,1.45,TRUE,TRUE,1,"SSP5_8_5",1.15,1.45,TRUE,TRUE,1,"SSP5_8_5",32.7868851810911,0.0777152480545914,2
1.15,1.6,TRUE,TRUE,1,"SSP1_1_9",1.15,1.6,TRUE,TRUE,1,"SSP1_1_9",38.0738915145767,0.000285690712514511,3
1.15,1.6,TRUE,TRUE,1,"SSP1_2_6",1.15,1.6,TRUE,TRUE,1,"SSP1_2_6",37.5008089378069,0.000276925842011206,3
1.15,1.6,TRUE,TRUE,1,"SSP2_4_5",1.15,1.6,TRUE,TRUE,1,"SSP2_4_5",35.9031387671278,0.0184757770906492,4
1.15,1.6,TRUE,TRUE,1,"SSP3_7_0",1.15,1.6,TRUE,TRUE,1,"SSP3_7_0",34.8625043219647,0.0428998359399906,4
1.15,1.6,TRUE,TRUE,1,"SSP5_8_5",1.15,1.6,TRUE,TRUE,1,"SSP5_8_5",33.7268959176913,0.0622731900428319,4
1.15,1.75,TRUE,TRUE,1,"SSP1_1_9",1.15,1.75,TRUE,TRUE,1,"SSP1_1_9",38.2363924036418,0.000592295747204105,4
1.15,1.75,TRUE,TRUE,1,"SSP1_2_6",1.15,1.75,TRUE,TRUE,1,"SSP1_2_6",37.7248595660739,0.000577970594499241,3
1.15,1.75,TRUE,TRUE,1,"SSP2_4_5",1.15,1.75,TRUE,TRUE,1,"SSP2_4_5",36.2546745251286,0.0174270769596231,4
1.15,1.75,TRUE,TRUE,1,"SSP3_7_0",1.15,1.75,TRUE,TRUE,1,"SSP3_7_0",35.3076908381204,0.0400561143688856,4
