"delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","test_value","experiment","scen_test"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8892608773976,52.8892608773976,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",58.6108880912831,54.8811515342236,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",47.4557870603675,47.4557870603674,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",58.0542613680567,49.4102826988082,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",43.3783452769894,43.3783452769894,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",56.307965667076,47.3265818434962,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",33.120912526752,33.1209125284689,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",53.3356159600686,46.058945511796,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",27.6992601942393,27.6992601958384,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",49.970207781153,41.915513106517,"experiment1","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_1_9",52.3451229336074,52.3423219424279,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8892608773976,52.8892608773976,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",55.0656970343153,54.0485592267311,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",58.6108880912831,54.8811515342236,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_2_6",48.8124105441314,48.8124105441314,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",47.4557870603675,44.5860898984498,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",53.7299250768418,52.1380108882116,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",58.0542613680567,53.356381701168,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP2_4_5",45.0757914171424,44.5490060348388,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",43.3783452769894,43.3783452769894,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",51.6323278158559,46.4077700709153,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",56.307965667076,47.3265818434962,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP3_7_0",40.230237012741,39.7736153795088,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",33.120912526752,33.1209125284689,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",49.9371772466502,45.4211135729509,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",53.3356159600686,46.058945511796,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP5_8_5",36.6411253414504,36.3367451654627,"experiment2","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",27.6992601942393,27.6992601958384,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",48.2893637392202,44.6089667355153,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",49.970207781153,41.915513106517,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_1_9",52.3451229336074,52.3426925455525,"experiment3","best non-adaptive"
1.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8436046604734,52.8436046604735,"experiment3","best non-adaptive"
2,1,TRUE,TRUE,1,"SSP1_1_9",52.883335734314,52.8830657373386,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",52.8892608773976,52.8888978772043,"experiment3","best non-adaptive"
1,1.5,TRUE,TRUE,1,"SSP1_1_9",54.6199242223172,53.9269331959388,"experiment3","best non-adaptive"
1.5,1.5,TRUE,TRUE,1,"SSP1_1_9",54.8750383022925,54.6697124222939,"experiment3","best non-adaptive"
2,1.5,TRUE,TRUE,1,"SSP1_1_9",54.9108581017125,54.7439722091067,"experiment3","best non-adaptive"
