"max_value","test_value","delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","scen_test"
37.8969760734706,37.8969760734706,1.5,1.5,TRUE,TRUE,1,"SSP1_1_9","SSP1_1_9"
37.8969760734706,37.8915025480968,1.5,1.5,TRUE,TRUE,1,"SSP1_1_9","SSP1_2_6"
37.8969760734706,36.4532313881108,1.5,1.5,TRUE,TRUE,1,"SSP1_1_9","SSP2_4_5"
37.8969760734706,35.5041180529867,1.5,1.5,TRUE,TRUE,1,"SSP1_1_9","SSP3_7_0"
37.8969760734706,34.8069572002654,1.5,1.5,TRUE,TRUE,1,"SSP1_1_9","SSP5_8_5"
37.5758749818115,37.5617252520167,1.5,1.5,TRUE,TRUE,1,"SSP1_2_6","SSP1_1_9"
37.5758749818115,37.5758749818115,1.5,1.5,TRUE,TRUE,1,"SSP1_2_6","SSP1_2_6"
37.5758749818115,36.2444661345051,1.5,1.5,TRUE,TRUE,1,"SSP1_2_6","SSP2_4_5"
37.5758749818115,35.0763524787848,1.5,1.5,TRUE,TRUE,1,"SSP1_2_6","SSP3_7_0"
37.5758749818115,33.6382044950121,1.5,1.5,TRUE,TRUE,1,"SSP1_2_6","SSP5_8_5"
35.0409453082742,34.0984342435771,1.5,1.5,TRUE,TRUE,1,"SSP2_4_5","SSP1_1_9"
35.0409453082742,34.0949842538936,1.5,1.5,TRUE,TRUE,1,"SSP2_4_5","SSP1_2_6"
35.0409453082742,35.0409453082742,1.5,1.5,TRUE,TRUE,1,"SSP2_4_5","SSP2_4_5"
35.0409453082742,34.4559279389829,1.5,1.5,TRUE,TRUE,1,"SSP2_4_5","SSP3_7_0"
35.0409453082742,32.7507103242126,1.5,1.5,TRUE,TRUE,1,"SSP2_4_5","SSP5_8_5"
33.020500251186,30.5383744835056,1.5,1.5,TRUE,TRUE,1,"SSP3_7_0","SSP1_1_9"
33.020500251186,30.5251837156295,1.5,1.5,TRUE,TRUE,1,"SSP3_7_0","SSP1_2_6"
33.020500251186,32.4428236804989,1.5,1.5,TRUE,TRUE,1,"SSP3_7_0","SSP2_4_5"
33.020500251186,33.020500251186,1.5,1.5,TRUE,TRUE,1,"SSP3_7_0","SSP3_7_0"
33.020500251186,32.2816880479,1.5,1.5,TRUE,TRUE,1,"SSP3_7_0","SSP5_8_5"
30.6946686822046,27.9885075354848,1.5,1.5,TRUE,TRUE,1,"SSP5_8_5","SSP1_1_9"
30.6946686822046,27.9798196021099,1.5,1.5,TRUE,TRUE,1,"SSP5_8_5","SSP1_2_6"
30.6946686822046,28.7031082204214,1.5,1.5,TRUE,TRUE,1,"SSP5_8_5","SSP2_4_5"
30.6946686822046,30.0864259149522,1.5,1.5,TRUE,TRUE,1,"SSP5_8_5","SSP3_7_0"
30.6946686822046,30.6946686822046,1.5,1.5,TRUE,TRUE,1,"SSP5_8_5","SSP5_8_5"
