"delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","test_value","experiment","scen_test"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",36.5948037459589,36.5948037459589,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",40.4527874083271,37.8725955037196,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",33.4623457346053,33.4623457346052,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",40.1434546249568,34.8453198476551,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",31.3036084319923,31.3036084319923,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",39.1636523412478,33.4868923267807,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",25.9980109039918,25.9980401330404,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",37.6584399386938,32.7716085221645,"experiment1","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",22.6548983945026,22.6549085413664,"experiment1","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",35.8398296528052,30.5793232233769,"experiment1","best non-adaptive"
1,1.6,TRUE,TRUE,1,"SSP1_1_9",37.8850349564887,37.1161055977507,"experiment2","best non-adaptive"
2.5,1.6,TRUE,TRUE,1,"SSP1_1_9",38.0490355811288,38.0490355811288,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",38.0722357239641,37.2378602924802,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",40.4527874083271,38.2924218726336,"experiment2","best non-adaptive"
1,1.6,TRUE,TRUE,1,"SSP1_2_6",37.0645248219231,36.3281251318662,"experiment2","best non-adaptive"
2.5,1.6,TRUE,TRUE,1,"SSP1_2_6",37.8866440865505,37.8866440865505,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",37.322329367697,36.5264274114909,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",40.1434546249568,38.2715865347568,"experiment2","best non-adaptive"
1,1.6,TRUE,TRUE,1,"SSP2_4_5",35.7374602092786,33.3563431518621,"experiment2","best non-adaptive"
2.5,1.6,TRUE,TRUE,1,"SSP2_4_5",35.1338477528159,35.1338477528159,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",36.1220228979259,33.6004270843093,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",39.1636523412478,35.9068396944887,"experiment2","best non-adaptive"
1,1.6,TRUE,TRUE,1,"SSP3_7_0",34.7507117704807,31.7574922114923,"experiment2","best non-adaptive"
2.5,1.6,TRUE,TRUE,1,"SSP3_7_0",31.4348290930842,31.4348290930842,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",35.2361597076553,32.0734458652887,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",37.6584399386938,34.9979831007846,"experiment2","best non-adaptive"
1,1.6,TRUE,TRUE,1,"SSP5_8_5",33.7210168554587,30.9653890643593,"experiment2","best non-adaptive"
2.5,1.6,TRUE,TRUE,1,"SSP5_8_5",27.3786659325365,27.3786769252347,"experiment2","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",34.3001234822057,31.3418187484951,"experiment2","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",35.8398296528052,33.43603261409,"experiment2","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_1_9",36.2491517156374,36.2491517156375,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_1_9",36.5948037459589,36.5934781085479,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_1_9",38.0722357239641,37.3441524518417,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_1_9",40.4527874083271,37.8736014798984,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP1_2_6",34.2092321239154,34.2092321239154,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP1_2_6",33.4623457346053,32.0232642254516,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP1_2_6",37.322329367697,36.2703347731613,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP1_2_6",40.1434546249568,37.0658119126694,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP2_4_5",32.0961086602234,31.7869406995878,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP2_4_5",31.3036084319923,31.3036084319923,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP2_4_5",36.1220228979259,32.9215864998135,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP2_4_5",39.1636523412478,33.4868923267807,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP3_7_0",29.5905696411211,29.3036994507599,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP3_7_0",25.9980109039918,25.9980401330404,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP3_7_0",35.2361597076553,32.2811748840762,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP3_7_0",37.6584399386938,32.7716085221645,"experiment3","best non-adaptive"
1,1,TRUE,TRUE,1,"SSP5_8_5",27.4844402072966,27.2557107714871,"experiment3","best non-adaptive"
2.5,1,TRUE,TRUE,1,"SSP5_8_5",22.6548983945026,22.6549085413664,"experiment3","best non-adaptive"
1,2.5,TRUE,TRUE,1,"SSP5_8_5",34.3001234822057,31.6716322152654,"experiment3","best non-adaptive"
2.5,2.5,TRUE,TRUE,1,"SSP5_8_5",35.8398296528052,30.5793232233769,"experiment3","best non-adaptive"
