0,1,1,0,1,0,0,0,0,0,0,0,1,31
0,2,1,0,1,0,0,0,0,0,0,0,1,31
1,1,0.8696,0.118109228216045,1,0,0.17,0.375820756799357,0,0,1,0,1,31
1,2,0.8733,0.113357663878363,1,0,0.153,0.360167628640777,0,0,1,0,1,31
2,1,0.8106,0.134929040038999,1.015,0.121613279660528,0.29,0.453989103510322,0.015,0.121613279660528,1.86101389,0.133063735768595,1,31
2,2,0.8145,0.134081049099892,1,0,0.299,0.458048915301421,0,0,1.865563435,0.127261685840668,1,31
3,1,0.783,0.147691613887901,1.049,0.215976030257169,0.612,0.487538402275855,0.049,0.215976030257169,2.6562048279535,0.233835286371995,1,31
3,2,0.7833,0.146193305190363,1,0,0.636,0.481389380580561,0,0,2.6649535329955,0.221952899684194,1,31
4,1,0.7592,0.153423918926936,1.102,0.302799748493435,0.413,0.492619197427053,0.102,0.302799748493435,3.40592986545125,0.344590342056701,1,31
4,2,0.7645,0.152358009185481,1,0,0.443,0.496988931464271,0,0,3.41622810553975,0.329716765790052,1,31
5,1,0.7488,0.167052286624477,1.144,0.351265408754388,0.42,0.49380547166252,0.144,0.351265408754388,4.13908652945532,0.449569470711542,1,31
5,2,0.7412,0.158264359878046,1,0,0.527,0.499520290399219,0,0,4.15828121007778,0.437718051120356,1,31
6,1,0.7357,0.167760703544226,1.193,0.394850486775573,0.568,0.495602281695334,0.193,0.394850486775573,4.85932630150811,0.558116984603828,1,31
6,2,0.7262,0.167276841019735,1,0,0.757,0.429109700583819,0,0,4.87277385655563,0.540408673257353,1,31
7,1,0.7177,0.166986809642542,1.264,0.441019839121211,0.442,0.496873105413125,0.264,0.441019839121211,5.55655781614166,0.662463942006809,1,31
7,2,0.7146,0.166175974359877,1,0,0.638,0.480819287453392,0,0,5.56071094979437,0.644370012314833,1,31
8,1,0.7126,0.174389367943266,1.312,0.463541660340115,0.503,0.500241183071967,0.312,0.463541660340115,6.23848027942178,0.758624557935121,1,31
8,2,0.7006,0.172247813656108,1,0,0.757,0.429109700583819,0,0,6.24293320313747,0.741682946288943,1,31
9,1,0.7034,0.17504022131807,1.378,0.485130241637595,0.457,0.498396829242923,0.378,0.485130241637595,6.90979298750216,0.85086301099727,1,31
9,2,0.6843,0.171618655637908,1,0,0.753,0.431482534034898,0,0,6.90515318867036,0.841398295458281,1,31
10,1,0.6962,0.180771231777178,1.429,0.495180981262613,0.364,0.481389380580561,0.429,0.495180981262613,7.57084774064059,0.937449689347323,1,31
10,2,0.6715,0.173977061758204,1,0,0.671,0.470085077384913,0,0,7.55122143641005,0.940488655642978,1,31
11,1,0.6864,0.185605736682597,1.47,0.499348925451281,0.53,0.499348925451281,0.47,0.499348925451281,8.22674148600932,1.02521636536594,1,31
11,2,0.6567,0.178288801939148,1,0,1,0,0,0,8.18853377341101,1.03237567164027,1,31
12,1,0.6841,0.182676108346331,1.523,0.499720642680209,0.477,0.499720642680209,0.28,0.449223554371097,8.86244179592433,1.10526165072129,1,31
12,2,0.6365,0.176773864015581,1,0,1,0,0,0,8.79456673699593,1.1133011648248,1,31
13,1,0.6626,0.175932351181334,1.583,0.493309592805932,0.413,0.492619197427053,0.29,0.453989103510322,9.50791672230719,1.18420487462548,1,31
13,2,0.6269,0.181712436033997,1,0,0.992,0.0891288053546324,0,0,9.38036332395693,1.19520155388969,1,31
14,1,0.6413,0.178370754682841,1.626,0.484105730557239,0.365,0.481671056850011,0.392,0.488440963243844,10.1345515265388,1.25029494340364,1,31
14,2,0.6081,0.17904314129965,1,0,0.97,0.170672578726429,0,0,9.95691328408586,1.27292556483067,1,31
15,1,0.6286,0.175307651780442,1.673,0.469351990824894,0.311,0.463134422704136,0.511,0.500129112459102,10.7371572454587,1.30934302223831,1,31
15,2,0.5851,0.181496366164535,1,0,0.948,0.222138122224316,0,0,10.5157303531182,1.34743821745424,1,31
16,1,0.6284,0.188438183362473,1.699,0.458922226101122,0.275,0.446737702208549,0.588,0.492441365543654,11.3237766120665,1.37071161891829,1,31
16,2,0.5647,0.171619822174956,1,0,0.926,0.261901875885975,0,0,11.0526243674586,1.42403686966757,1,31
17,1,0.6317,0.20081194047027,1.724,0.447240454368815,0.242,0.428508599236491,0.636,0.481389380580561,11.9080909140388,1.43122496188569,1,31
17,2,0.5437,0.169378271921162,1,0,0.916,0.277526613176144,0,0,11.5701955492484,1.49553767521584,1,31
18,1,0.632,0.202625410689422,1.739,0.439399672362272,0.214,0.410332026988355,0.67,0.470448000656099,12.4948924530473,1.49592426325516,1,31
18,2,0.5285,0.1747807148924,1,0,0.886,0.317970289657863,0,0,12.067249796054,1.56477011254336,1,31
19,1,0.6305,0.206112183609393,1.77,0.421043082447957,0.194,0.395626743939942,0.726,0.446232140396815,13.0816353119018,1.56277531513482,1,31
19,2,0.5053,0.171497292460614,1,0,0.891,0.311795151046671,0,0,12.550578976485,1.63441258310002,1,31
20,1,0.6371,0.219184013175304,1.793,0.40535825551642,0.186,0.389301368550838,0.762,0.426072221034812,13.6650257608306,1.6336222985911,1,31
20,2,0.4811,0.174365114610673,1,0,0.937,0.243084532807191,0,0,13.0104543389212,1.69710445906124,1,31
21,1,0.6453,0.223490173962655,1.812,0.390907672998125,0.179,0.383544138406659,0.791,0.406797842281009,14.2535474805887,1.7128600816857,1,31
21,2,0.4617,0.172780100020121,1,0,0.96,0.196057232558349,0,0,13.4438366635014,1.75701282375742,1,31
22,1,0.6463,0.224714945668522,1.83,0.375820756799357,0.162,0.368635174517967,0.816,0.387678080750375,14.8490954530753,1.79557589934032,1,31
