"Year","X5.","Mean","X95.","scenario"
2045,1.27459756882445,1.56812107890494,1.89679854975088,"SSP1_1_9"
2046,1.27062905287353,1.56716839905392,1.90047684740473,"SSP1_1_9"
2047,1.265763207983,1.5670003955098,1.90598003209729,"SSP1_1_9"
2048,1.26235169039083,1.5667685716258,1.91040922386971,"SSP1_1_9"
2049,1.25921493738856,1.56617200135306,1.91285366859673,"SSP1_1_9"
2050,1.25673531340553,1.56544787107881,1.91574512901776,"SSP1_1_9"
2051,1.25304777249401,1.56464291713007,1.91887727722184,"SSP1_1_9"
2052,1.25003424569508,1.56282889223914,1.91919953899489,"SSP1_1_9"
2053,1.24617071404265,1.56123466515327,1.92086847506629,"SSP1_1_9"
2054,1.24298093864845,1.55996311278605,1.92236992907247,"SSP1_1_9"
2055,1.23887375099653,1.55720722170862,1.9216479343015,"SSP1_1_9"
2056,1.23255411216519,1.55333097880176,1.9207913341078,"SSP1_1_9"
2057,1.22701848971692,1.54982954048268,1.92084284423311,"SSP1_1_9"
2058,1.22218313069165,1.5473093023778,1.92143092731529,"SSP1_1_9"
2059,1.21697839812923,1.54364920437138,1.92012210882471,"SSP1_1_9"
2060,1.21221316251947,1.5400054359228,1.91808655292744,"SSP1_1_9"
2061,1.20752797952913,1.53662846960053,1.91733439495358,"SSP1_1_9"
2062,1.20241592784492,1.53317072781098,1.91651534468874,"SSP1_1_9"
2063,1.19639793657117,1.52903493279692,1.91445036056955,"SSP1_1_9"
2064,1.19174215346227,1.52495298834794,1.91150317468561,"SSP1_1_9"
2065,1.18689087873197,1.52056943243236,1.90889088555797,"SSP1_1_9"
2066,1.18350568401977,1.51791725068682,1.90747321758829,"SSP1_1_9"
2067,1.18134011546701,1.51443681226857,1.90344046961898,"SSP1_1_9"
2068,1.17719925518364,1.51055123708371,1.90050583213942,"SSP1_1_9"
2069,1.1716482343899,1.50650287893157,1.89852891568626,"SSP1_1_9"
2070,1.16689147485318,1.50278456533853,1.89632409255134,"SSP1_1_9"
2071,1.16537274249884,1.49930182645054,1.89204072786541,"SSP1_1_9"
2072,1.16202067562991,1.49557312977572,1.88901783914494,"SSP1_1_9"
2073,1.15892012754667,1.49224310609281,1.88579907355733,"SSP1_1_9"
2074,1.15558409120272,1.48902485715597,1.88305480734431,"SSP1_1_9"
2075,1.15337225647282,1.48670566590514,1.88101070771964,"SSP1_1_9"
2076,1.1504384803762,1.48322480904565,1.8780388738558,"SSP1_1_9"
2077,1.14635895818569,1.47947022321863,1.87543331021681,"SSP1_1_9"
2078,1.14278373456857,1.47476224633044,1.86970506716175,"SSP1_1_9"
2079,1.1391086060401,1.4690253025127,1.86253612214512,"SSP1_1_9"
2080,1.13551460189468,1.46355893188024,1.85671622834887,"SSP1_1_9"
2081,1.13278801321487,1.45929551081744,1.85160659543069,"SSP1_1_9"
2082,1.12908117280116,1.45521333373012,1.8473490703417,"SSP1_1_9"
2083,1.12592345861925,1.45104272774693,1.84242259632146,"SSP1_1_9"
2084,1.12232539351142,1.44657266994286,1.83798107909377,"SSP1_1_9"
2085,1.12006428277015,1.44361110905976,1.8349845878819,"SSP1_1_9"
2086,1.1154737326594,1.4390948093946,1.83130304016555,"SSP1_1_9"
2087,1.10980848704391,1.43445752493749,1.82754921577474,"SSP1_1_9"
2088,1.10618096651187,1.42955155594614,1.82230312519983,"SSP1_1_9"
2089,1.10144005096606,1.42389760978786,1.81679177760403,"SSP1_1_9"
2090,1.09523146584302,1.41788078449631,1.81110342271832,"SSP1_1_9"
2091,1.09225386115082,1.41431034706296,1.80754850517826,"SSP1_1_9"
2092,1.08938555785683,1.41098426869593,1.80301321180096,"SSP1_1_9"
2093,1.08449787939723,1.40719264889958,1.79876970964054,"SSP1_1_9"
2094,1.07975693385572,1.40334356028605,1.79529345685855,"SSP1_1_9"
2095,1.07538724635178,1.39959568014057,1.7913781373021,"SSP1_1_9"
2096,1.07057041916962,1.39593194740065,1.78764024482485,"SSP1_1_9"
2097,1.06570288857247,1.39223064640506,1.78275146158312,"SSP1_1_9"
2098,1.06125923773761,1.38840285974541,1.77804816900921,"SSP1_1_9"
2099,1.05623256526101,1.38491434340723,1.77419501492738,"SSP1_1_9"
2015,1.01028596777476,1.09924754747724,1.19646878721148,"SSP1_2_6"
2016,1.02775375471178,1.12493648875298,1.23238070608561,"SSP1_2_6"
2017,1.04576849843246,1.15112728061103,1.26727655247612,"SSP1_2_6"
2018,1.06336849810567,1.17686657191716,1.30233044413284,"SSP1_2_6"
2019,1.08130089635487,1.20226640935634,1.34035075062448,"SSP1_2_6"
2020,1.09865453978521,1.22876837300737,1.3789032266076,"SSP1_2_6"
2021,1.11405209675999,1.25412359639538,1.41433250060937,"SSP1_2_6"
2022,1.13023214042745,1.27877893670613,1.44986041520357,"SSP1_2_6"
2023,1.1461672540616,1.30178068042794,1.4843974759145,"SSP1_2_6"
2024,1.16112239421716,1.32522223196617,1.52139297719173,"SSP1_2_6"
2025,1.17560457447699,1.35061853106499,1.55292516230532,"SSP1_2_6"
2026,1.18976822942919,1.3726191632086,1.58559268394401,"SSP1_2_6"
2027,1.20451432744689,1.39575458502741,1.61472898867281,"SSP1_2_6"
2028,1.21885635101403,1.4172805921757,1.64586194708373,"SSP1_2_6"
2029,1.23281477712777,1.43977472355674,1.67824880893459,"SSP1_2_6"
2030,1.24687465262313,1.46075354622364,1.7083615601033,"SSP1_2_6"
2031,1.25975318541054,1.48046994985744,1.73750788457762,"SSP1_2_6"
2032,1.27055629611823,1.49920018798334,1.76548491233937,"SSP1_2_6"
2033,1.28169637724019,1.51761100675208,1.79277056534057,"SSP1_2_6"
2034,1.29147397624847,1.53426134671169,1.82049261900729,"SSP1_2_6"
2035,1.29926630752069,1.54981792798785,1.8435216532399,"SSP1_2_6"
2036,1.30763527108229,1.5652408799388,1.86762964513135,"SSP1_2_6"
2037,1.31534722811183,1.57949181156022,1.89345036644196,"SSP1_2_6"
2038,1.32329316881773,1.59462959197988,1.91731802876387,"SSP1_2_6"
2039,1.33153499552495,1.609538328947,1.94052866294532,"SSP1_2_6"
2040,1.33964293484298,1.62243962510369,1.96203603985282,"SSP1_2_6"
2041,1.34672777770948,1.63516595208078,1.98361827538066,"SSP1_2_6"
2042,1.35433454408424,1.6479460325499,2.00687161709963,"SSP1_2_6"
2043,1.35925362671029,1.6604228538617,2.02921899264616,"SSP1_2_6"
2044,1.36464258476933,1.66968991126705,2.04902198493287,"SSP1_2_6"
2045,1.37017447821733,1.6798423471563,2.06702431337052,"SSP1_2_6"
2046,1.3750883088763,1.69082389548078,2.08294678300357,"SSP1_2_6"
2047,1.37821535887815,1.70040427246081,2.11289303721454,"SSP1_2_6"
2048,1.38105822324102,1.7080199392076,2.12809185683861,"SSP1_2_6"
2049,1.38471323105641,1.71600871402358,2.14282916038196,"SSP1_2_6"
2050,1.38574558983319,1.72381629854118,2.15608966842187,"SSP1_2_6"
2051,1.38755683213835,1.73270215478958,2.16912328137966,"SSP1_2_6"
2052,1.39178554276993,1.7403653561269,2.18183605472506,"SSP1_2_6"
2053,1.39413745663298,1.74741078933257,2.19351097289386,"SSP1_2_6"
2054,1.39525378111926,1.75403651170736,2.20480721623232,"SSP1_2_6"
2055,1.39769053858746,1.76004420887956,2.21567875358274,"SSP1_2_6"
2056,1.39803716518737,1.76564366530306,2.22533481974998,"SSP1_2_6"
2057,1.39894250196487,1.77044839518429,2.23361548476937,"SSP1_2_6"
2058,1.40126837547033,1.77436238533112,2.24231721670217,"SSP1_2_6"
2059,1.40242540032096,1.77805151865683,2.25015049554476,"SSP1_2_6"
2060,1.40304165038633,1.78269619683256,2.25724758856806,"SSP1_2_6"
2061,1.40541873438723,1.78585272961068,2.26380925541319,"SSP1_2_6"
2062,1.40635563539816,1.78799318146247,2.26979171290233,"SSP1_2_6"
2063,1.40812705583325,1.7917420636157,2.27411652346367,"SSP1_2_6"
2064,1.41016898186401,1.79476157675302,2.27949419457492,"SSP1_2_6"
2065,1.41107630143237,1.79747650456422,2.28524893543546,"SSP1_2_6"
2066,1.41064173186505,1.79883581329112,2.28998130581195,"SSP1_2_6"
2067,1.41087682447001,1.7985892106994,2.29307410574204,"SSP1_2_6"
2068,1.41072584834134,1.79904217260493,2.2962985408963,"SSP1_2_6"
2069,1.40996725557673,1.80117064454395,2.29991770916487,"SSP1_2_6"
2070,1.40946362966243,1.80050925719406,2.30378656805052,"SSP1_2_6"
2071,1.40914493602842,1.80017614318767,2.3072756709024,"SSP1_2_6"
2072,1.40809953197803,1.80064378223429,2.31012104783852,"SSP1_2_6"
2073,1.40671703031251,1.79968231414812,2.31349172796391,"SSP1_2_6"
2074,1.40702684872226,1.79924190067784,2.31633328342291,"SSP1_2_6"
2075,1.40632187701043,1.7986081423458,2.31997690100781,"SSP1_2_6"
