Year,5%,Mean,95%
2015.00,8.03866,8.05157,8.06462
2016.00,8.03660,8.04939,8.06209
2017.00,8.03399,8.04729,8.06071
2018.00,8.03135,8.04478,8.05883
2019.00,8.02771,8.04214,8.05631
2020.00,8.02512,8.03969,8.05335
2021.00,8.02328,8.03696,8.05096
2022.00,8.02084,8.03450,8.04798
2023.00,8.01745,8.03181,8.04590
2024.00,8.01394,8.02888,8.04328
2025.00,8.01128,8.02600,8.04072
2026.00,8.00809,8.02282,8.03739
2027.00,8.00592,8.02014,8.03456
2028.00,8.00341,8.01701,8.03164
2029.00,8.00014,8.01371,8.02866
2030.00,7.99606,8.01032,8.02536
2031.00,7.99186,8.00666,8.02224
2032.00,7.98924,8.00366,8.01903
2033.00,7.98613,8.00057,8.01563
2034.00,7.98195,7.99691,8.01273
2035.00,7.97664,7.99242,8.00946
2036.00,7.97426,7.98956,8.00548
2037.00,7.97121,7.98631,8.00228
2038.00,7.96686,7.98224,7.99829
2039.00,7.96205,7.97816,7.99466
2040.00,7.95812,7.97418,7.99079
2041.00,7.95499,7.97034,7.98723
2042.00,7.95070,7.96627,7.98303
2043.00,7.94476,7.96151,7.97821
2044.00,7.93980,7.95688,7.97384
2045.00,7.93751,7.95295,7.96933
2046.00,7.93400,7.94880,7.96521
2047.00,7.92874,7.94444,7.96124
2048.00,7.92178,7.93928,7.95726
2049.00,7.91760,7.93453,7.95250
2050.00,7.91409,7.93063,7.94824
2051.00,7.90983,7.92620,7.94361
2052.00,7.90445,7.92117,7.93889
2053.00,7.89851,7.91596,7.93414
2054.00,7.89413,7.91113,7.92912
2055.00,7.89003,7.90662,7.92416
2056.00,7.88343,7.90109,7.92002
2057.00,7.87747,7.89588,7.91462
2058.00,7.87297,7.89081,7.91024
2059.00,7.86865,7.88567,7.90464
2060.00,7.86340,7.88080,7.89985
2061.00,7.85690,7.87497,7.89411
2062.00,7.85108,7.86942,7.88903
2063.00,7.84713,7.86444,7.88329
2064.00,7.84125,7.85849,7.87727
2065.00,7.83421,7.85257,7.87244
2066.00,7.82905,7.84719,7.86720
2067.00,7.82498,7.84184,7.86131
2068.00,7.81879,7.83605,7.85612
2069.00,7.81117,7.82993,7.84991
2070.00,7.80557,7.82389,7.84381
2071.00,7.80128,7.81876,7.83771
2072.00,7.79496,7.81263,7.83263
2073.00,7.78831,7.80633,7.82674
2074.00,7.78153,7.80048,7.82074
2075.00,7.77692,7.79486,7.81468
2076.00,7.77257,7.78948,7.80951
2077.00,7.76519,7.78310,7.80378
2078.00,7.75809,7.77679,7.79720
2079.00,7.75184,7.77110,7.79175
2080.00,7.74669,7.76514,7.78597
2081.00,7.74180,7.75941,7.77955
2082.00,7.73401,7.75261,7.77268
2083.00,7.72694,7.74669,7.76707
2084.00,7.72254,7.74099,7.76159
2085.00,7.71830,7.73559,7.75563
2086.00,7.71176,7.72974,7.74963
2087.00,7.70449,7.72365,7.74462
2088.00,7.69826,7.71801,7.73887
2089.00,7.69515,7.71292,7.73276
2090.00,7.68874,7.70691,7.72767
2091.00,7.68153,7.70114,7.72191
2092.00,7.67646,7.69575,7.71605
2093.00,7.67326,7.69068,7.71075
2094.00,7.66763,7.68524,7.70543
2095.00,7.66071,7.67976,7.69990
2096.00,7.65516,7.67446,7.69455
2097.00,7.65107,7.66950,7.69017
2098.00,7.64611,7.66455,7.68490
2099.00,7.64010,7.65912,7.67891
