Year,5%,Mean,95%
2015.00,8.03603,8.04992,8.06464
2016.00,8.03360,8.04786,8.06209
2017.00,8.03082,8.04553,8.06058
2018.00,8.02905,8.04307,8.05831
2019.00,8.02646,8.04037,8.05562
2020.00,8.02374,8.03793,8.05283
2021.00,8.02120,8.03551,8.05123
2022.00,8.01860,8.03296,8.04891
2023.00,8.01560,8.03009,8.04573
2024.00,8.01236,8.02693,8.04284
2025.00,8.00969,8.02439,8.04075
2026.00,8.00799,8.02158,8.03779
2027.00,8.00493,8.01837,8.03435
2028.00,8.00174,8.01535,8.03146
2029.00,7.99823,8.01235,8.02864
2030.00,7.99593,8.00953,8.02565
2031.00,7.99226,8.00582,8.02231
2032.00,7.98813,8.00259,8.01996
2033.00,7.98604,7.99960,8.01683
2034.00,7.98217,7.99621,8.01314
2035.00,7.97856,7.99265,8.00941
2036.00,7.97555,7.98937,8.00687
2037.00,7.97246,7.98611,8.00335
2038.00,7.96957,7.98330,8.00059
2039.00,7.96636,7.98022,7.99693
2040.00,7.96301,7.97658,7.99339
2041.00,7.95902,7.97333,7.99077
2042.00,7.95536,7.96989,7.98725
2043.00,7.95326,7.96670,7.98336
2044.00,7.94959,7.96328,7.98033
2045.00,7.94502,7.95965,7.97725
2046.00,7.94109,7.95595,7.97348
2047.00,7.93935,7.95269,7.97040
2048.00,7.93583,7.94931,7.96652
2049.00,7.93088,7.94562,7.96329
2050.00,7.92702,7.94202,7.95961
2051.00,7.92431,7.93862,7.95625
2052.00,7.92149,7.93532,7.95226
2053.00,7.91726,7.93164,7.94874
2054.00,7.91315,7.92809,7.94544
2055.00,7.90884,7.92442,7.94261
2056.00,7.90669,7.92114,7.93882
2057.00,7.90299,7.91742,7.93464
2058.00,7.89863,7.91377,7.93185
2059.00,7.89456,7.91035,7.92782
2060.00,7.89241,7.90689,7.92423
2061.00,7.88957,7.90311,7.92051
2062.00,7.88509,7.89944,7.91635
2063.00,7.88067,7.89586,7.91319
2064.00,7.87823,7.89243,7.90983
2065.00,7.87404,7.88860,7.90639
2066.00,7.86905,7.88478,7.90253
2067.00,7.86549,7.88137,7.89907
2068.00,7.86341,7.87784,7.89575
2069.00,7.85999,7.87427,7.89185
2070.00,7.85507,7.87040,7.88766
2071.00,7.85100,7.86679,7.88452
2072.00,7.84838,7.86329,7.88081
2073.00,7.84496,7.85973,7.87700
2074.00,7.84054,7.85610,7.87338
2075.00,7.83545,7.85179,7.86969
2076.00,7.83229,7.84833,7.86630
2077.00,7.83042,7.84519,7.86332
2078.00,7.82677,7.84145,7.85936
2079.00,7.82200,7.83731,7.85576
2080.00,7.81681,7.83333,7.85168
2081.00,7.81452,7.82995,7.84812
2082.00,7.81136,7.82619,7.84411
2083.00,7.80714,7.82247,7.84072
2084.00,7.80250,7.81872,7.83712
2085.00,7.79811,7.81471,7.83331
2086.00,7.79639,7.81176,7.82943
2087.00,7.79315,7.80800,7.82514
2088.00,7.78776,7.80358,7.82140
2089.00,7.78348,7.79987,7.81833
2090.00,7.78148,7.79635,7.81412
2091.00,7.77747,7.79262,7.81066
2092.00,7.77294,7.78885,7.80745
2093.00,7.76920,7.78495,7.80357
2094.00,7.76643,7.78119,7.79968
2095.00,7.76220,7.77749,7.79587
2096.00,7.75682,7.77358,7.79222
2097.00,7.75232,7.76962,7.78829
2098.00,7.75084,7.76594,7.78437
2099.00,7.74783,7.76239,7.78088
