Year,5%,Mean,95%
2015.00,8.03829,8.05246,8.06420
2016.00,8.03671,8.05086,8.06236
2017.00,8.03384,8.04858,8.06037
2018.00,8.03110,8.04624,8.05840
2019.00,8.02785,8.04354,8.05630
2020.00,8.02612,8.04122,8.05394
2021.00,8.02345,8.03893,8.05187
2022.00,8.02089,8.03630,8.04896
2023.00,8.01794,8.03370,8.04671
2024.00,8.01547,8.03094,8.04371
2025.00,8.01449,8.02900,8.04182
2026.00,8.01236,8.02690,8.03984
2027.00,8.00952,8.02499,8.03829
2028.00,8.00668,8.02232,8.03577
2029.00,8.00541,8.02043,8.03369
2030.00,8.00374,8.01836,8.03095
2031.00,8.00132,8.01653,8.02932
2032.00,7.99871,8.01432,8.02759
2033.00,7.99635,8.01254,8.02517
2034.00,7.99464,8.01070,8.02378
2035.00,7.99402,8.00898,8.02196
2036.00,7.99287,8.00736,8.02003
2037.00,7.99087,8.00603,8.01922
2038.00,7.98812,8.00403,8.01731
2039.00,7.98742,8.00301,8.01542
2040.00,7.98710,8.00191,8.01417
2041.00,7.98548,7.99992,8.01243
2042.00,7.98311,7.99865,8.01108
2043.00,7.98105,7.99690,8.00901
2044.00,7.98085,7.99599,8.00860
2045.00,7.98038,7.99542,8.00712
2046.00,7.97838,7.99390,8.00652
2047.00,7.97702,7.99296,8.00532
2048.00,7.97688,7.99198,8.00393
2049.00,7.97568,7.99135,8.00281
2050.00,7.97444,7.99055,8.00267
2051.00,7.97398,7.98978,8.00138
2052.00,7.97434,7.98959,8.00118
2053.00,7.97321,7.98854,8.00017
2054.00,7.97188,7.98759,7.99918
2055.00,7.97065,7.98659,7.99845
2056.00,7.97078,7.98646,7.99763
2057.00,7.97056,7.98613,7.99764
2058.00,7.96993,7.98563,7.99708
2059.00,7.96903,7.98511,7.99672
2060.00,7.96895,7.98478,7.99619
2061.00,7.96932,7.98439,7.99542
2062.00,7.96881,7.98420,7.99562
2063.00,7.96781,7.98369,7.99477
2064.00,7.96824,7.98390,7.99479
2065.00,7.96912,7.98397,7.99518
2066.00,7.96884,7.98410,7.99526
2067.00,7.96817,7.98348,7.99555
2068.00,7.96806,7.98347,7.99477
2069.00,7.96849,7.98375,7.99448
2070.00,7.96881,7.98388,7.99457
2071.00,7.96895,7.98401,7.99513
2072.00,7.96844,7.98389,7.99465
2073.00,7.96792,7.98404,7.99522
2074.00,7.96876,7.98443,7.99545
2075.00,7.96980,7.98480,7.99558
2076.00,7.96950,7.98485,7.99560
2077.00,7.96953,7.98519,7.99617
2078.00,7.96985,7.98524,7.99582
2079.00,7.96990,7.98530,7.99606
2080.00,7.97146,7.98625,7.99640
2081.00,7.97253,7.98693,7.99773
2082.00,7.97273,7.98706,7.99725
2083.00,7.97251,7.98748,7.99740
2084.00,7.97262,7.98799,7.99829
2085.00,7.97479,7.98928,7.99950
2086.00,7.97598,7.98996,8.00058
2087.00,7.97555,7.99049,8.00059
2088.00,7.97610,7.99122,8.00124
2089.00,7.97742,7.99213,8.00250
2090.00,7.97805,7.99294,8.00296
2091.00,7.97823,7.99345,8.00370
2092.00,7.98007,7.99459,8.00466
2093.00,7.98092,7.99589,8.00594
2094.00,7.98146,7.99623,8.00650
2095.00,7.98193,7.99675,8.00769
2096.00,7.98248,7.99757,8.00893
2097.00,7.98426,7.99859,8.00913
2098.00,7.98583,7.99952,8.00983
2099.00,7.98684,8.00054,8.01054
