Year,5%,Mean,95%
2015.00,8.03611,8.04980,8.06427
2016.00,8.03411,8.04789,8.06220
2017.00,8.03062,8.04547,8.06011
2018.00,8.02854,8.04296,8.05793
2019.00,8.02659,8.04044,8.05568
2020.00,8.02407,8.03781,8.05239
2021.00,8.02157,8.03553,8.05016
2022.00,8.01947,8.03339,8.04900
2023.00,8.01660,8.03060,8.04624
2024.00,8.01363,8.02816,8.04386
2025.00,8.01157,8.02614,8.04131
2026.00,8.00883,8.02351,8.03919
2027.00,8.00696,8.02111,8.03678
2028.00,8.00419,8.01833,8.03410
2029.00,8.00186,8.01587,8.03137
2030.00,7.99906,8.01330,8.02900
2031.00,7.99633,8.01085,8.02643
2032.00,7.99455,8.00840,8.02432
2033.00,7.99231,8.00580,8.02196
2034.00,7.98961,8.00318,8.01966
2035.00,7.98722,8.00076,8.01722
2036.00,7.98395,7.99824,8.01478
2037.00,7.98191,7.99539,8.01189
2038.00,7.97919,7.99269,8.00904
2039.00,7.97702,7.99059,8.00659
2040.00,7.97459,7.98792,8.00383
2041.00,7.97145,7.98559,8.00183
2042.00,7.96839,7.98287,7.99943
2043.00,7.96702,7.98029,7.99650
2044.00,7.96559,7.97806,7.99402
2045.00,7.96231,7.97581,7.99177
2046.00,7.95856,7.97293,7.98934
2047.00,7.95739,7.97075,7.98678
2048.00,7.95549,7.96866,7.98452
2049.00,7.95315,7.96628,7.98234
2050.00,7.94994,7.96375,7.98013
2051.00,7.94676,7.96124,7.97734
2052.00,7.94545,7.95891,7.97509
2053.00,7.94339,7.95648,7.97245
2054.00,7.94073,7.95417,7.97033
2055.00,7.93790,7.95175,7.96741
2056.00,7.93571,7.94947,7.96498
2057.00,7.93443,7.94746,7.96260
2058.00,7.93221,7.94531,7.96090
2059.00,7.92905,7.94312,7.95920
2060.00,7.92666,7.94105,7.95737
2061.00,7.92595,7.93918,7.95501
2062.00,7.92408,7.93702,7.95229
2063.00,7.92084,7.93464,7.94983
2064.00,7.91853,7.93300,7.94858
2065.00,7.91639,7.93066,7.94650
2066.00,7.91540,7.92900,7.94479
2067.00,7.91315,7.92697,7.94287
2068.00,7.91061,7.92502,7.94050
2069.00,7.90858,7.92292,7.93863
2070.00,7.90775,7.92125,7.93660
2071.00,7.90625,7.91975,7.93515
2072.00,7.90347,7.91800,7.93380
2073.00,7.90175,7.91610,7.93164
2074.00,7.90099,7.91471,7.92983
2075.00,7.90005,7.91357,7.92881
2076.00,7.89720,7.91150,7.92669
2077.00,7.89533,7.90993,7.92472
2078.00,7.89451,7.90871,7.92410
2079.00,7.89342,7.90746,7.92264
2080.00,7.89198,7.90587,7.92122
2081.00,7.89092,7.90483,7.92003
2082.00,7.89013,7.90378,7.91855
2083.00,7.88874,7.90271,7.91767
2084.00,7.88707,7.90138,7.91637
2085.00,7.88579,7.90039,7.91476
2086.00,7.88518,7.89914,7.91352
2087.00,7.88454,7.89845,7.91243
2088.00,7.88528,7.89799,7.91186
2089.00,7.88362,7.89711,7.91130
2090.00,7.88289,7.89632,7.91012
2091.00,7.88157,7.89568,7.90984
2092.00,7.88124,7.89501,7.90920
2093.00,7.88106,7.89447,7.90864
2094.00,7.88003,7.89400,7.90812
2095.00,7.87968,7.89352,7.90751
2096.00,7.87979,7.89302,7.90763
2097.00,7.87928,7.89296,7.90738
2098.00,7.87910,7.89230,7.90634
2099.00,7.87771,7.89150,7.90554
