"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","k"
"SSP2_4_5",0.0294502866266675,1.3,1.9,2
"SSP3_7_0",0.0238363746701733,1.3,1.9,2
"SSP5_8_5",0.0233659335498462,1.3,1.9,2
"SSP1_1_9",0.0216039805630107,1.3,2.05,2
"SSP1_2_6",0.0110207618325328,1.3,2.05,2
"SSP2_4_5",0.0403542921130337,1.3,2.05,2
"SSP3_7_0",0.0306137834141991,1.3,2.05,2
"SSP5_8_5",0.0312211470869937,1.3,2.05,2
"SSP1_1_9",0.0282120313109475,1.3,2.2,2
"SSP1_2_6",0.0157759326624568,1.3,2.2,2
"SSP2_4_5",0.0513150967298757,1.3,2.2,2
"SSP3_7_0",0.0371254923009282,1.3,2.2,2
"SSP5_8_5",0.0392952219580574,1.3,2.2,2
"SSP1_1_9",0.0311536379362778,1.3,2.35,2
"SSP1_2_6",0.0248576023273663,1.3,2.35,2
"SSP2_4_5",0.0580714183830076,1.3,2.35,2
"SSP3_7_0",0.0431070343643163,1.3,2.35,2
"SSP5_8_5",0.0482197183734335,1.3,2.35,2
"SSP1_1_9",0.032524386640739,1.3,2.5,2
"SSP1_2_6",0.0299459307380074,1.3,2.5,2
"SSP2_4_5",0.0622511455232246,1.3,2.5,2
"SSP3_7_0",0.0487875664213384,1.3,2.5,2
"SSP5_8_5",0.0574633076021284,1.3,2.5,2
"SSP1_1_9",0.00122014432604387,1.45,1.6,2
"SSP1_2_6",0.00114087722800205,1.45,1.6,2
"SSP2_4_5",0.00386852950360699,1.45,1.6,2
"SSP3_7_0",0.00351603938507845,1.45,1.6,2
"SSP5_8_5",0.00352198959345918,1.45,1.6,2
"SSP1_1_9",0.0038895393674867,1.45,1.75,2
"SSP1_2_6",0.00349225412828463,1.45,1.75,2
"SSP2_4_5",0.0122588242253983,1.45,1.75,2
"SSP3_7_0",0.0099905071537011,1.45,1.75,2
"SSP5_8_5",0.00967015976381246,1.45,1.75,2
"SSP1_1_9",0.00924566413790849,1.45,1.9,2
"SSP1_2_6",0.00600520589597355,1.45,1.9,2
"SSP2_4_5",0.0208228855138808,1.45,1.9,2
"SSP3_7_0",0.0158143753242113,1.45,1.9,2
"SSP5_8_5",0.0155556096654465,1.45,1.9,2
"SSP1_1_9",0.0197586988253189,1.45,2.05,2
"SSP1_2_6",0.00928407701720487,1.45,2.05,2
"SSP2_4_5",0.0310881338338414,1.45,2.05,2
"SSP3_7_0",0.0219651435427655,1.45,2.05,2
"SSP5_8_5",0.0222205100605671,1.45,2.05,2
"SSP1_1_9",0.0262235203890173,1.45,2.2,2
"SSP1_2_6",0.0138453121784647,1.45,2.2,2
"SSP2_4_5",0.0417480447860453,1.45,2.2,2
"SSP3_7_0",0.0282131546992018,1.45,2.2,2
"SSP5_8_5",0.0290600792554532,1.45,2.2,2
"SSP1_1_9",0.0291137391838691,1.45,2.35,2
"SSP1_2_6",0.0228215051505677,1.45,2.35,2
"SSP2_4_5",0.0483798041015734,1.45,2.35,2
"SSP3_7_0",0.0340823050743068,1.45,2.35,2
"SSP5_8_5",0.0364528943808941,1.45,2.35,2
"SSP1_1_9",0.0304624166776027,1.45,2.5,2
"SSP1_2_6",0.0278602621284717,1.45,2.5,2
"SSP2_4_5",0.0525232669307035,1.45,2.5,2
"SSP3_7_0",0.0397232003060124,1.45,2.5,2
"SSP5_8_5",0.0439391226712111,1.45,2.5,2
"SSP1_1_9",0.00150338976074096,1.6,1.75,2
"SSP1_2_6",0.0011140961528234,1.6,1.75,2
"SSP2_4_5",0.00424089740411035,1.6,1.75,2
"SSP3_7_0",0.00324062809278689,1.6,1.75,2
"SSP5_8_5",0.00309942494158185,1.6,1.75,2
"SSP1_1_9",0.00686392411721474,1.6,1.9,2
"SSP1_2_6",0.00358763156942693,1.6,1.9,2
"SSP2_4_5",0.0122728947775394,1.6,1.9,2
"SSP3_7_0",0.0085550024950021,1.6,1.9,2
"SSP5_8_5",0.00789492339876589,1.6,1.9,2
"SSP1_1_9",0.0171475305130952,1.6,2.05,2
"SSP1_2_6",0.00646070589150684,1.6,2.05,2
"SSP2_4_5",0.020988044390249,1.6,2.05,2
"SSP3_7_0",0.0134925508978398,1.6,2.05,2
"SSP5_8_5",0.0131812849204202,1.6,2.05,2
"SSP1_1_9",0.0232368635662693,1.6,2.2,2
"SSP1_2_6",0.0107665547322752,1.6,2.2,2
"SSP2_4_5",0.030980464714405,1.6,2.2,2
"SSP3_7_0",0.0192263767724222,1.6,2.2,2
"SSP5_8_5",0.0190985004580794,1.6,2.2,2
"SSP1_1_9",0.0259579788564542,1.6,2.35,2
"SSP1_2_6",0.0196129089370993,1.6,2.35,2
"SSP2_4_5",0.0373176682378363,1.6,2.35,2
"SSP3_7_0",0.0248536094747743,1.6,2.35,2
"SSP5_8_5",0.0255175455444935,1.6,2.35,2
"SSP1_1_9",0.0272266806708824,1.6,2.5,2
"SSP1_2_6",0.0246064479238975,1.6,2.5,2
"SSP2_4_5",0.0413363115340715,1.6,2.5,2
"SSP3_7_0",0.0303782500026299,1.6,2.5,2
"SSP5_8_5",0.0317805964604945,1.6,2.5,2
"SSP1_1_9",0.00362568388506251,1.75,1.9,2
"SSP1_2_6",0.00135414989475909,1.75,1.9,2
"SSP2_4_5",0.00384072520653773,1.75,1.9,2
"SSP3_7_0",0.00261511720531072,1.75,1.9,2
"SSP5_8_5",0.00260204418691892,1.75,1.9,2
"SSP1_1_9",0.0134894453246915,1.75,2.05,2
"SSP1_2_6",0.00415003911438771,1.75,2.05,2
"SSP2_4_5",0.012156547450064,1.75,2.05,2
"SSP3_7_0",0.00693733013769554,1.75,2.05,2
"SSP5_8_5",0.00697126551374199,1.75,2.05,2
"SSP1_1_9",0.0195849523846372,1.75,2.2,2
"SSP1_2_6",0.00780607086572025,1.75,2.2,2
"SSP2_4_5",0.0205166640931752,1.75,2.2,2
"SSP3_7_0",0.0117047600414728,1.75,2.2,2
"SSP5_8_5",0.0117835810516637,1.75,2.2,2
"SSP1_1_9",0.0223089048793345,1.75,2.35,2
"SSP1_2_6",0.0163415143454524,1.75,2.35,2
"SSP2_4_5",0.0261876579500479,1.75,2.35,2
"SSP3_7_0",0.0169055842524615,1.75,2.35,2
"SSP5_8_5",0.0174380120571343,1.75,2.35,2
"SSP1_1_9",0.0235788925212035,1.75,2.5,2
"SSP1_2_6",0.0211961889615742,1.75,2.5,2
"SSP2_4_5",0.0299149950185108,1.75,2.5,2
"SSP3_7_0",0.0222255413740606,1.75,2.5,2
"SSP5_8_5",0.0229253660765957,1.75,2.5,2
"SSP1_1_9",0.00458072721171692,1.9,2.05,2
"SSP1_2_6",0.00163078050782302,1.9,2.05,2
"SSP2_4_5",0.00445994863121728,1.9,2.05,2
"SSP3_7_0",0.00243387571416231,1.9,2.05,2
"SSP5_8_5",0.00268395088904045,1.9,2.05,2
"SSP1_1_9",0.00454964445926862,1.9,2.2,2
"SSP1_2_6",0.00528552279961402,1.9,2.2,2
"SSP2_4_5",0.0101465131693034,1.9,2.2,2
"SSP3_7_0",0.00658906477882459,1.9,2.2,2
"SSP5_8_5",0.00669812827673106,1.9,2.2,2
"SSP1_1_9",0.00453576033234456,1.9,2.35,2
"SSP1_2_6",0.0133352007164733,1.9,2.35,2
"SSP2_4_5",0.0135523191886532,1.9,2.35,2
"SSP3_7_0",0.0108261918196639,1.9,2.35,2
"SSP5_8_5",0.0110330366340545,1.9,2.35,2
"SSP1_1_9",0.00452935420805541,1.9,2.5,2
"SSP1_2_6",0.0178416900707384,1.9,2.5,2
"SSP2_4_5",0.0163980929428785,1.9,2.5,2
"SSP3_7_0",0.0157270177853601,1.9,2.5,2
